# List of all pairs of integers (x,y) such that
# x + y is a cube, gcd(x,y) is cube-free, x >= y, |x| >= |y|, and the only primes dividing x and y lie in S,
# for all sets S = {2, 3, p},
# where p ranges over all other primes less or equal to 100.
# It contains 730 pairs (x,y), some of which may appear for more than one S.
# Format: "(x,y)".
# Computing this list took 3675 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3, 5}:
#
(1,-1)
(2,-2)
(2,-1)
(3,-3)
(3,-2)
(4,-4)
(4,-3)
(4,4)
(5,-5)
(5,-4)
(5,3)
(6,-6)
(6,-5)
(6,2)
(9,-9)
(9,-8)
(9,-1)
(10,-10)
(10,-9)
(10,-2)
(12,-12)
(12,-4)
(15,-15)
(15,12)
(16,-15)
(18,-18)
(18,-10)
(18,9)
(20,-20)
(20,-12)
(24,3)
(25,-25)
(25,-24)
(25,2)
(30,-30)
(30,-3)
(32,-5)
(36,-36)
(36,-9)
(45,-45)
(45,-18)
(50,-50)
(54,10)
(60,-60)
(60,4)
(72,-45)
(75,-75)
(75,-48)
(75,50)
(80,45)
(81,-80)
(90,-90)
(100,-100)
(100,-36)
(100,25)
(108,-100)
(120,5)
(128,-3)
(135,-10)
(150,-150)
(150,-25)
(180,-180)
(180,36)
(200,-75)
(225,-225)
(225,-100)
(225,-9)
(243,100)
(300,-300)
(375,-32)
(450,-450)
(500,12)
(720,9)
(800,-675)
(900,-900)
(900,100)
(1152,-1125)
(1250,81)
(2187,10)
(3600,-225)
(8100,-100)
(9216,45)
#
# S = {2, 3, 7}:
#
(1,-1)
(2,-2)
(2,-1)
(3,-3)
(3,-2)
(4,-4)
(4,-3)
(4,4)
(6,-6)
(6,2)
(7,-7)
(7,-6)
(7,1)
(8,-7)
(9,-9)
(9,-8)
(9,-1)
(12,-12)
(12,-4)
(14,-14)
(14,-6)
(18,-18)
(18,9)
(21,-21)
(21,6)
(24,3)
(28,-28)
(28,-27)
(28,-1)
(36,-36)
(36,-28)
(36,-9)
(36,28)
(42,-42)
(48,-21)
(49,-49)
(49,-48)
(63,-63)
(63,-36)
(63,1)
(64,-63)
(84,-84)
(98,-98)
(98,27)
(126,-126)
(126,-1)
(128,-3)
(147,-147)
(162,-98)
(189,-64)
(196,-196)
(196,147)
(252,-252)
(252,-36)
(294,-294)
(294,49)
(336,7)
(392,-49)
(441,-441)
(441,-98)
(441,288)
(567,-224)
(588,-588)
(784,-441)
(882,-882)
(972,28)
(1323,8)
(1764,-1764)
(1764,-36)
(2646,98)
(3087,288)
(9408,-147)
#
# S = {2, 3, 11}:
#
(1,-1)
(2,-2)
(2,-1)
(3,-3)
(3,-2)
(4,-4)
(4,-3)
(4,4)
(6,-6)
(6,2)
(9,-9)
(9,-8)
(9,-1)
(11,-11)
(11,-3)
(12,-12)
(12,-11)
(12,-4)
(16,11)
(18,-18)
(18,9)
(22,-22)
(24,3)
(33,-33)
(33,-32)
(33,-6)
(36,-36)
(36,-9)
(44,-44)
(44,-36)
(66,-66)
(66,-2)
(81,44)
(99,-99)
(99,-72)
(108,-44)
(121,-121)
(121,4)
(128,-3)
(132,-132)
(198,-198)
(198,18)
(242,-242)
(243,-242)
(352,-9)
(363,-363)
(396,-396)
(484,-484)
(726,-726)
(726,3)
(968,363)
(1089,-1089)
(1089,242)
(1452,-1452)
(1452,-121)
(2178,-2178)
(3267,-1936)
(4356,-4356)
(10692,-44)
(12288,-121)
(34848,1089)
#
# S = {2, 3, 13}:
#
(1,-1)
(2,-2)
(2,-1)
(3,-3)
(3,-2)
(4,-4)
(4,-3)
(4,4)
(6,-6)
(6,2)
(9,-9)
(9,-8)
(9,-1)
(12,-12)
(12,-4)
(13,-13)
(13,-12)
(18,-18)
(18,9)
(24,3)
(26,-26)
(26,-18)
(26,1)
(27,-26)
(36,-36)
(36,-9)
(39,-39)
(39,-12)
(52,-52)
(52,12)
(78,-78)
(117,-117)
(117,8)
(128,-3)
(144,-117)
(156,-156)
(169,-169)
(234,-234)
(234,-18)
(338,-338)
(351,-8)
(468,-468)
(486,26)
(507,-507)
(512,-169)
(676,-676)
(676,324)
(768,-39)
(1014,-1014)
(1521,-1521)
(1521,676)
(2028,-2028)
(2028,169)
(2704,-507)
(3042,-3042)
(6084,-6084)
(12168,-1)
(18252,-676)
(43264,-41067)
#
# S = {2, 3, 17}:
#
(1,-1)
(2,-2)
(2,-1)
(3,-3)
(3,-2)
(4,-4)
(4,-3)
(4,4)
