# List of all primitive integral solutions of the Thue-Mahler equation
# 1x^3 + 0x^2y + 0xy^2 + 1y^3 = 1z,
# such that the only primes dividing z are among the first 6 primes.
# It contains 171 pairs in total.
# Format: "(x, y)".
# Computing this list took 1063 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-3257, 3287)
(-431, 1241)
(-313, 913)
(-311, 608)
(-163, 190)
(-146, 191)
(-137, 141)
(-121, 127)
(-101, 103)
(-79, 2752)
(-74, 107)
(-62, 87)
(-55, 87)
(-43, 88)
(-37, 323)
(-32, 197)
(-31, 97)
(-25, 43)
(-23, 71)
(-20, 47)
(-19, 31)
(-17, 20)
(-12, 17)
(-9, 29)
(-8, 11)
(-7, 8)
(-6, 31)
(-5, 6)
(-5, 41)
(-3, 5)
(-2, 5)
(-2, 11)
(-2, 123)
(-1, 2)
(-1, 3)
(-1, 4)
(-1, 9)
(-1, 16)
(-1, 22)
(0, 1)
(1, 0)
(1, 1)
(1, 2)
(1, 3)
(1, 4)
(1, 5)
(1, 10)
(1, 17)
(1, 19)
(1, 23)
(2, -1)
(2, 1)
(2, 3)
(2, 7)
(2, 13)
(3, -1)
(3, 1)
(3, 2)
(3, 4)
(3, 8)
(4, -1)
(4, 1)
(4, 3)
(4, 5)
(5, -3)
(5, -2)
(5, 1)
(5, 4)
(5, 7)
(5, 8)
(5, 11)
(6, -5)
(7, 2)
(7, 5)
(7, 15)
(8, -7)
(8, 3)
(8, 5)
(8, 19)
(9, -1)
(10, 1)
(11, -8)
(11, -2)
(11, 5)
(11, 13)
(11, 19)
(13, 2)
(13, 11)
(15, 7)
(15, 73)
(16, -1)
(16, 17)
(17, -12)
(17, 1)
(17, 16)
(17, 37)
(17, 53)
(19, 1)
(19, 8)
(19, 11)
(19, 89)
(20, -17)
(22, -1)
(22, 23)
(23, 1)
(23, 22)
(23, 27)
(23, 94)
(27, 23)
(29, -9)
(31, -19)
(31, -6)
(31, 50)
(37, 17)
(41, -5)
(43, -25)
(47, -20)
(50, 31)
(53, 17)
(53, 75)
(61, 179)
(71, -23)
(71, 94)
(73, 15)
(75, 53)
(87, -62)
(87, -55)
(88, -43)
(89, 19)
(94, 23)
(94, 71)
(97, -31)
(97, 128)
(103, -101)
(107, -74)
(107, 181)
(118, 179)
(123, -2)
(127, -121)
(127, 248)
(128, 97)
(141, -137)
(179, 61)
(179, 118)
(181, 107)
(190, -163)
(191, -146)
(191, 337)
(197, -32)
(248, 127)
(323, -37)
(337, 191)
(397, 683)
(491, 7957)
(608, -311)
(683, 397)
(913, -313)
(1241, -431)
(1349, 1621)
(1621, 1349)
(2752, -79)
(3257, 6544)
(3287, -3257)
(3527, 4033)
(4033, 3527)
(6544, 3257)
(7957, 491)
(14629, 30746)
(30746, 14629)
(77689, 231191)
(231191, 77689)
