# List of all primitive integral solutions of the Thue-Mahler equations
# f(x,y) = z, where
# f is any reduced binary cubic with non-zero discriminant bounded by |D(f)| <= 3000,
# such that only primes dividing z are among S, where
# S is the set of the first 2 primes.
# Note that some GL_2(Z)-equivalence classes of forms may have several reduced representatives.
# It contains 33456 pairs in total.
# Format: "(x,y)".
# Computing this list took 2812 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# (a,b,c,d) = (-6,0,5,0) and D = -3000:
#
(-1,-1)
(-1,0)
(-1,1)
#
# (a,b,c,d) = (-750,0,1,0) and D = -3000:
#
#
# (a,b,c,d) = (-1,1,9,0) and D = -2997:
#
(-36,13)
(-18,-5)
(-18,7)
(-9,-2)
(-9,1)
(-4,-1)
(-3,1)
(-1,0)
(1,1)
(2,-421)
(2,-1)
(3,1)
(9,-10)
(9,-4)
(18,7)
(18,3787)
(32,-13)
(216,-85)
(216,61)
(288,85)
#
# (a,b,c,d) = (-749,1,1,0) and D = -2997:
#
(-4,-97)
(-4,101)
(-2,-53)
(-2,55)
(-1,-22)
(-1,-4)
(-1,5)
(-1,23)
(1,-86)
(1,-32)
(1,31)
(1,85)
(2,-34093)
(2,-73)
(2,71)
(2,34091)
(8,-223)
(8,215)
(32,-925)
(32,893)
#
# (a,b,c,d) = (-27,3,3,0) and D = -2997:
#
(-4,-9)
(-4,13)
(-2,-5)
(-2,7)
(-1,-2)
(-1,0)
(-1,1)
(-1,3)
(1,-10)
(1,-4)
(1,3)
(1,9)
(2,-3789)
(2,-9)
(2,7)
(2,3787)
(24,-85)
(24,61)
(32,-117)
(32,85)
#
# (a,b,c,d) = (-749,0,1,0) and D = -2996:
#
#
# (a,b,c,d) = (1,5,-4,-3) and D = -2993:
#
(-6,-7)
(-3,1)
(-1,-1)
(-1,2)
(0,-1)
(1,0)
#
# (a,b,c,d) = (-748,1,1,0) and D = -2993:
#
(1,-36)
(1,-29)
(1,-28)
(1,27)
(1,28)
(1,35)
(48,-1337)
(48,1289)
#
# (a,b,c,d) = (-93,2,2,0) and D = -2992:
#
(-3,-19)
(-3,22)
(-1,-6)
(-1,-2)
(-1,3)
(-1,7)
(2,-15)
(2,13)
(8,-65)
(8,57)
#
# (a,b,c,d) = (-748,0,1,0) and D = -2992:
#
(-3,-82)
(-3,82)
(-1,-26)
(-1,-10)
(-1,10)
(-1,26)
(1,-28)
(1,28)
(2,-61)
(2,61)
#
# (a,b,c,d) = (-747,1,1,0) and D = -2989:
#
(1,-28)
(1,27)
#
# (a,b,c,d) = (-747,0,1,0) and D = -2988:
#
(-1,-27)
(-1,27)
(3,-82)
(3,82)
#
# (a,b,c,d) = (-746,1,1,0) and D = -2985:
#
(-1,-25)
(-1,26)
(3,-85)
(3,82)
#
# (a,b,c,d) = (-746,0,1,0) and D = -2984:
#
#
# (a,b,c,d) = (-745,1,1,0) and D = -2981:
#
#
# (a,b,c,d) = (1,5,-3,-4) and D = -2981:
#
(-5540,8201)
(-92,17)
(-12,-11)
(-4,-11)
(-4,1)
(-1,-1)
(-1,1)
(0,-1)
(1,0)
(2,-3)
(2,1)
(4,-7)
(4,1)
(7,-1)
(11,10)
(340,-523)
#
# (a,b,c,d) = (-93,1,2,0) and D = -2980:
#
(-4,-3)
(-4,5)
(-2,-13)
(-2,-11)
(-2,-9)
(-2,7)
(-1,-3)
(-1,5)
(-1,6)
(-1,7)
(1,-21)
(1,-8)
(1,7)
(1,19)
(1,235)
(2,-471)
(2,-39)
(2,-15)
(2,15)
(2,41)
(9,67)
(18,-143)
(27,-191)
(32,-769)
(32,753)
(54,355)
#
# (a,b,c,d) = (-745,0,1,0) and D = -2980:
#
(-1,-27)
(-1,-23)
(-1,-19)
(-1,-13)
(-1,-4)
(-1,4)
(-1,13)
(-1,19)
(-1,23)
(-1,27)
(1,-941)
(1,-83)
(1,-77)
(1,-31)
(1,-29)
(1,29)
(1,31)
(1,77)
(1,83)
(1,941)
(8,-761)
(8,761)
(9,-277)
(9,277)
(27,-737)
(27,737)
#
# (a,b,c,d) = (-744,1,1,0) and D = -2977:
#
(-4,-107)
(-4,111)
(-1,-24)
(-1,-23)
(-1,-20)
(-1,21)
(-1,24)
(-1,25)
(1,-169)
(1,-88)
(1,-61)
(1,-28)
(1,27)
(1,60)
(1,87)
(1,168)
(3,-520)
(3,517)
#
# (a,b,c,d) = (-93,0,2,0) and D = -2976:
#
#
# (a,b,c,d) = (-744,0,1,0) and D = -2976:
#
#
# (a,b,c,d) = (-743,1,1,0) and D = -2973:
#
#
# (a,b,c,d) = (-743,0,1,0) and D = -2972:
#
#
# (a,b,c,d) = (-742,1,1,0) and D = -2969:
#
(1,-30)
(1,29)
#
# (a,b,c,d) = (-742,0,1,0) and D = -2968:
#
(-1,-16)
(-1,16)
(4,-109)
(4,109)
(16,-499)
(16,499)
#
# (a,b,c,d) = (-741,1,1,0) and D = -2965:
#
(-1,-3)
(-1,4)
#
# (a,b,c,d) = (-741,0,1,0) and D = -2964:
#
(-1,-27)
(-1,27)
(9,-245)
(9,245)
#
# (a,b,c,d) = (-740,1,1,0) and D = -2961:
#
(1,-44)
(1,-29)
(1,-28)
(1,27)
(1,28)
(1,43)
#
# (a,b,c,d) = (-11,3,4,0) and D = -2960:
#
(-4,-5)
(-4,7)
(-1,-1)
(-1,2)
(1,-3)
(3,4)
(4,9)
(12,-25)
(81,-2083)
(324,8089)
#
# (a,b,c,d) = (-92,2,2,0) and D = -2960:
#
(-1,-6)
(-1,-5)
(-1,6)
(-1,7)
(1,-11)
(1,10)
(3,-22)
(3,19)
(81,-8251)
(81,8170)
#
# (a,b,c,d) = (-740,0,1,0) and D = -2960:
#
(-1,-26)
(-1,-22)
(-1,22)
(-1,26)
(1,-42)
(1,42)
(3,-82)
(3,82)
(81,-32842)
(81,32842)
#
# (a,b,c,d) = (-739,1,1,0) and D = -2957:
#
#
# (a,b,c,d) = (-739,0,1,0) and D = -2956:
#
(1,-35)
(1,35)
#
# (a,b,c,d) = (-738,1,1,0) and D = -2953:
#
(-3,-80)
(-3,83)
(-1,-26)
(-1,-17)
(-1,-9)
(-1,10)
(-1,18)
(-1,27)
(1,-95)
(1,-72)
(1,-34)
(1,-31)
(1,-28)
(1,27)
(1,30)
(1,33)
(1,71)
(1,94)
#
# (a,b,c,d) = (-738,0,1,0) and D = -2952:
#
(-1,-27)
(-1,-24)
(-1,-3)
(-1,3)
(-1,24)
(-1,27)
(1,-30)
(1,30)
(2,-249)
(2,249)
(6,-163)
(6,163)
(8,-219)
(8,219)
#
# (a,b,c,d) = (-27,2,3,0) and D = -2952:
#
(-3,-8)
(-3,-7)
(-3,2)
(-3,10)
(-1,0)
(-1,3)
(1,3)
(2,27)
(3,-11)
(6,-85)
(8,-27)
(24,65)
(54,-181)
(54,145)
#
# (a,b,c,d) = (-737,1,1,0) and D = -2949:
#
#
# (a,b,c,d) = (-737,0,1,0) and D = -2948:
#
(-1,-27)
(-1,-15)
(-1,15)
(-1,27)
(3,-83)
(3,83)
(27,-733)
(27,733)
#
# (a,b,c,d) = (-92,1,2,0) and D = -2948:
#
(-2,-13)
(-2,-7)
(-1,4)
(-1,7)
(3,20)
(6,-43)
(27,-190)
(54,353)
#
# (a,b,c,d) = (-736,1,1,0) and D = -2945:
#
(1,-32)
(1,31)
(3,-83)
(3,80)
#
# (a,b,c,d) = (-736,0,1,0) and D = -2944:
#
(1,-68)
(1,-40)
(1,-32)
(1,-28)
(1,28)
(1,32)
(1,40)
(1,68)
(2,-55)
(2,55)
#
# (a,b,c,d) = (-92,0,2,0) and D = -2944:
#
(1,-17)
(1,-10)
(1,-8)
(1,-7)
(1,7)
(1,8)
(1,10)
(1,17)
(8,-55)
(8,55)
#
# (a,b,c,d) = (2,1,-7,-1) and D = -2941:
#
(-2,1)
(-1,-2)
(0,-1)
(1,0)
#
# (a,b,c,d) = (-735,1,1,0) and D = -2941:
#
(-1,-2)
(-1,3)
#
# (a,b,c,d) = (-2,2,7,0) and D = -2940:
#
(-3,2)
(-1,0)
(1,-1)
(2,1)
#
# (a,b,c,d) = (-735,0,1,0) and D = -2940:
#
(-1,-27)
(-1,27)
(9,-244)
(9,244)
#
# (a,b,c,d) = (-734,1,1,0) and D = -2937:
#
(-3,-79)
(-3,82)
(-1,-26)
(-1,27)
(1,-70)
