# List of S-integral points (x,y) on the elliptic curve
# y^2 + x*y = x^3 - 5818216808130*x + 5401285759982786436, where
# S is the set of the first 12 primes.
# It contains 1040 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 191308 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(107669992/81,91946211886/729)
(143535774/625,31548338177682/15625)
(840186/25,285200359044/125)
(-16858028/9,84235614178/27)
(3722183085/2704,3435207156867/140608)
(1191225720,41113449026346)
(506484678/361,12406826712/6859)
(44263904,294042199070)
(35720766/25,8819100474/125)
(-291946146/121,3092671009446/1331)
(1326447816/961,390184418658/29791)
(-27329910/49,998508767502/343)
(157651374/169,1946194407552/2197)
(16038255/4,54556005597/8)
(8021282439/5476,59394557023485/405224)
(25199284/9,89758503922/27)
(155217360/169,2003345184378/2197)
(21182781/16,8767810857/64)
(730000596/529,173255687322/12167)
(-462635949/196,6715559242797/2744)
(6625866,16050970146)
(-102425424/121,4150168804986/1331)
(5031573573/16,356887023823047/64)
(169788180/121,5611986546/1331)
(1100086320/841,4124521535226/24389)
(83103362/169,3582095069948/2197)
(35309256/25,4226652006/125)
(2829286164/961,110587309124106/29791)
(285967551/196,368832716547/2744)
(84950034/49,248270180628/343)
(2902739304/529,143255117201046/12167)
(411563646/289,296313728448/4913)
(-153745/4,18973582597/8)
(87888801/64,16738889685/512)
(13444071366/9025,170399103612126/857375)
(117586968/49,786137555442/343)
(56078850/49,168383424558/343)
(1445894740/2601,202824989736674/132651)
(83256537/64,94000676343/512)
(8520542253/5776,73886679850749/438976)
(127381620/49,960229762122/343)
(3232365816/2401,10727561317962/117649)
(-35333034/289,12145243635528/4913)
(196804776/121,652106433678/1331)
(241679760/121,1758680789334/1331)
(163239168/121,113546253318/1331)
(173412090/121,106234529916/1331)
(4276894964/3025,6210457636778/166375)
(149124837/16,1765000093431/64)
(262385808,4249901050014)
(221162197/144,511843548649/1728)
(2810903700/1369,73546994142318/50653)
(91647777/64,39596341731/512)
(63533982,506026445664)
(18572174696/13225,16166007131774/1520875)
(137089419/100,38273685327/1000)
(493304070/169,8005640846952/2197)
(338769498/121,4424150851548/1331)
(-231197387/1296,118344399230719/46656)
(227857620/169,191147109438/2197)
(18613450740/14641,430072997345814/1771561)
(47753337/64,621726071793/512)
(-102062952/289,13376499881982/4913)
(4094972454/3025,12583441315182/166375)
(-51877320/49,1104963430278/343)
(192339786/121,546545648076/1331)
(369611526/289,1118151873240/4913)
(920869239/676,1010796702765/17576)
(-986905356/1369,153831394542558/50653)
(6009902958/1369,406577745563322/50653)
(322170664/225,260095846082/3375)
(-858080814/529,39568473608910/12167)
(67468482/49,8048060292/343)
(-1005465654/361,50543580342/6859)
(3318885984/2401,-77847856386/117649)
(237350708/169,24464346158/2197)
(5864471751/100,448696960039821/1000)
(-449801934/169,3135284257962/2197)
(32442465/64,822616195587/512)
(1031801232/289,26962453534002/4913)
(2194521250/1521,5949747416036/59319)
(498857298/361,36751898196/6859)
(123920276,1379152767638)
(856202286/529,5752388035662/12167)
(-50556264/25,372978378726/125)
(-277162069/100,487098437591/1000)
(872209038/361,16001085624726/6859)
(1469653001/1024,2758484315605/32768)
(1473253716/361,48304709280354/6859)
(57251142/49,152559416904/343)
(5357030097/4096,44438383840071/262144)
(308537076/625,25428793128726/15625)
(213645684/25,3009323538942/125)
(87283648/81,450742468562/729)
(1408868184/25,52830530737638/125)
(21677529/64,953587789431/512)
(333399102/529,17137076970336/12167)
(-120141159/64,1595768496225/512)
(177547188/361,11182338996402/6859)
(759038778,20911533102948)
(-64685850/49,1126470172008/343)
(969209274/625,5121564618468/15625)
(1318784481/1024,6871688210625/32768)
(2766050832/169,143959738197306/2197)
(96767496570/361,30099790439877756/6859)
(68759552/49,1589254862/343)
(-66161064/25,188251357794/125)
(493176750/361,335998433046/6859)
(-1347477045/484,1543799699733/10648)
(341387374/729,32809608287648/19683)
(30981171/196,5811343143297/2744)
(185201184/529,22456641236946/12167)
(113667094/81,3622108114/729)
(85890813816/361,25170031871772042/6859)
(375225585/256,608255408271/4096)
(5421309744/841,374406438475770/24389)
(119704180/81,126783849014/729)
(47294719113/18496,6766465971621513/2515456)
(-2335025616/4225,798286759449522/274625)
(1860103458/1369,3293175494172/50653)
(77263860/49,131478766698/343)
(9694340976/961,929247483300258/29791)
(60812401101/38416,2985700928062161/7529536)
(227839764/121,1408594401330/1331)
(-286183128/169,7086249855426/2197)
(251350333/144,1295859864127/1728)
(25863524436/15625,1078554190777566/1953125)
(246339954,3866052130626)
(731158578/529,34090744398/12167)
(-24880375824/9025,600691495519266/857375)
(917950008/361,18200617327182/6859)
(-843734706/361,17131489774230/6859)
(880713696/625,402188556306/15625)
(16686056698/1089,2129900629753508/35937)
(-226627242/121,4152666183558/1331)
(907929915/676,1717837533099/17576)
(1283402208/961,3377958547134/29791)
(-488714316/2401,301733569875270/117649)
(5526019281/4096,22340428699719/262144)
(769025154/529,1500279833796/12167)
(323781462/49,5481186183822/343)
(770634944/529,1578117317842/12167)
(336447120/289,2225230999602/4913)
(1687900824/3025,253834493490822/166375)
(1046148546/1369,59944497088890/50653)
(3289954056/2401,4679212075194/117649)
(122504290932/89401,1060982023935426/26730899)
(-124423161/100,3273890383893/1000)
(28081809768/20449,95613710328258/2924207)
(-339812546/225,11064910144478/3375)
(307000974,5378781117360)
(68097213/16,486153677091/64)
(11023794/121,2937794087526/1331)
(174244426896/130321,5184438108828078/47045881)
(1203775554/841,1853086322634/24389)
(21154620976/4761,2693718593215142/328509)
(5926838614/2601,264326510963446/132651)
(1091107060/729,4204553481442/19683)
(9059875680/2401,717086584967934/117649)
(636686226/625,11382545108076/15625)
(3720846531/4,226962474614943/8)
