# List of S-integral points (x,y) on the elliptic curve
# y^2 + y = x^3 - 6349808647*x + 193146346911036
# assuming that the Mordell-Weil rank is at most the analytic rank of this curve (as predicted by BSD), where
# S is the set of the first 7 primes.
# It contains 2316 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1317329 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(1805318/49,1040979050/343)
(-979927/16,1201277237/64)
(-108186/25,1856339262/125)
(1918068,2654158416)
(2361865/36,1658390687/216)
(2166449/25,2142033418/125)
(1960172,2742127799)
(2703409/64,278095273/512)
(1976617/4,2744852439/8)
(1974594,2772478898)
(1689410/49,1337411531/343)
(3160649/64,36863685/512)
(3163361/64,110313007/512)
(-246811/25,1995589738/125)
(2743710/49,1244053266/343)
(3181097/64,293788971/512)
(-282176/25,2028619207/125)
(2641801/64,599554341/512)
(2817858/49,1461993182/343)
(-1328911/16,777481367/64)
(2126137/4,3067159353/8)
(-1357711/16,703832169/64)
(-441429/25,2164200381/125)
(-446134/25,2167868961/125)
(2174478,3204385841)
(-471031/25,2186950297/125)
(-1445671/16,346031939/64)
(2531401/64,1007276997/512)
(3296689/64,847416855/512)
(2209703,3282631841)
(2226024,3319098411)
(2505001/64,1094989141/512)
(2278557,3437380850)
(2955660/49,1866074001/343)
(2958124/49,1873311537/343)
(2376201,3660863634)
(3483289/64,1516486083/512)
(-934641/25,2431192477/125)
(3398638/81,558294814/729)
(3147211/49,2431946994/343)
(2556129/4,4056339547/8)
(3544897/64,1726210017/512)
(3368599/81,728975737/729)
(-1056469/25,2455909821/125)
(2768709/25,3640626073/125)
(2118049/64,2246342385/512)
(-1240101/25,2456078982/125)
(3344562/49,3024109038/343)
(3727617/64,2340291967/512)
(4202467/81,1336092121/729)
(-1439696/25,2397381783/125)
(780838/49,3360801375/343)
(2968054/9,4976026658/27)
(660157/49,3598123563/343)
(3544928/49,3636657557/343)
(3013837,5230332749)
(3883657/64,2863428517/512)
(4254729/100,36876183/1000)
(4254441/100,63305489/1000)
(3039866,5298267605)
(4950689/100,353690637/1000)
(3300869/25,5087571097/125)
