# List of S-integral points (x,y) on the elliptic curve
# y^2 = x^3 + x^2 - 1692310759026568999140789578145*x + 839379398840982294584587970773038145228669599
# in the span of 14 independent rational points given by Fermigier and the torsion points, where
# S is the set of the first 2 primes.
# It contains 178 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 62252 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(809823326908353,0)
(27652190434059600393/16384,110787945153138633020411360997/2097152)
(241155226783401710271,3744941335280640684914346150984)
(1537707897909249,43279096469467596216912)
(37402814922641745,7229313887634286581677832)
(32390555283357325/9,5491301347880791942435964/27)
(3401055912037352697/4096,677251101713202809978204019/262144)
(21903546421627601,3236098622773974720134616)
(127247201163142017/64,37394730235117577320375455/512)
(319466696988910866,180565507230434498170547109)
(8076800853180114,716978870073714829212603)
(24553735268429880645,121667995495712602665234622332)
(45370347409954506489/1024,305473105825935708209173361037/32768)
(306002046582607885/36,167395396204007933950886813/216)
(93962736771761189/4,28759452563288355431421753/8)
(7335280971697741/9,33055815750694859233124/27)
(8299529996132173/9,214292685510574998878692/27)
(17654254820546154,2339511144380689208001057)
(8809512591907033/9,296662887233615661359768/27)
(7680095246038858/9,110197706197222974979907/27)
(12408717829667522226,43710961638399585686797423509)
(15745650948076258/9,1535345904088372636299257/27)
(15828153515772466/9,1551664716232295430061199/27)
(66877969949971729/81,1624918579453314129835808/729)
(119714681091021146644569/268435456,57906771922030353850818379139702877/4398046511104)
(1662635745109410882,2143855634118767667539636301)
(128709385635009343561/9216,1454087411186201492807943950651/884736)
(9180794603068824553/2304,26487960894930007843507311733/110592)
