2: 1 + 1 = 2 (1.000): 1 + 1 = 2^1
2,3: 1 + 8 = 9 (1.226): 1 + 2^3 = 3^2
2,3,7,11,13: 1183 + 6561 = 7744 (1.029): 7^1 13^2 + 3^8 = 2^6 11^2
2,3,7,11,13: 1 + 10647 = 10648 (1.066): 1 + 3^2 7^1 13^2 = 2^3 11^3
2,3,7,11,13: 8019 + 8788 = 16807 (1.118): 3^6 11^1 + 2^2 13^3 = 7^5
2,3,7,11,13: 49 + 28512 = 28561 (1.179): 7^2 + 2^5 3^4 11^1 = 13^4
2,3,5,11,19: 19 + 8000 = 8019 (1.028): 19^1 + 2^6 5^3 = 3^6 11^1
2,3,5,11,19: 5120 + 6859 = 11979 (1.074): 2^10 5^1 + 19^3 = 3^2 11^3
2,3,5,13,17: 2197 + 7803 = 10000 (1.047): 13^3 + 3^3 17^2 = 2^4 5^4
2,3,5,13,17: 4913 + 13312 = 18225 (1.115): 17^3 + 2^10 13^1 = 3^6 5^2
2,3,5,13,17: 17 + 140608 = 140625 (1.347): 17^1 + 2^6 13^3 = 3^2 5^6
2,11,17,19: 4913 + 9728 = 14641 (1.082): 17^3 + 2^9 19^1 = 11^4
2,3,5,13,19: 3125 + 6859 = 9984 (1.033): 5^5 + 19^3 = 2^8 3^1 13^1
2,3,5,13,19: 1125 + 27436 = 28561 (1.151): 3^2 5^3 + 2^2 19^3 = 13^4
2,3,5,13,19: 338 + 390625 = 390963 (1.445): 2^1 13^2 + 5^8 = 3^1 19^4
2,3,5,11,23: 759 + 15625 = 16384 (1.086): 3^1 11^1 23^1 + 5^6 = 2^14
2,3,5,11,23: 9 + 64000 = 64009 (1.239): 3^2 + 2^9 5^3 = 11^2 23^2
2,3,5,11,23: 1 + 71874 = 71875 (1.252): 1 + 2^1 3^3 11^3 = 5^5 23^1
2,3,7,11,17: 98 + 14641 = 14739 (1.070): 2^1 7^2 + 11^4 = 3^1 17^3
2,3,7,11,19: 49 + 14592 = 14641 (1.056): 7^2 + 2^8 3^1 19^1 = 11^4
2,3,7,11,19: 2166 + 14641 = 16807 (1.072): 2^1 3^1 19^2 + 11^4 = 7^5
2,3,7,11,19: 19 + 43904 = 43923 (1.177): 19^1 + 2^7 7^3 = 3^1 11^4
2,3,7,11,19: 81 + 123823 = 123904 (1.292): 3^4 + 7^3 19^2 = 2^10 11^2
2,3,7,11,19: 12672 + 117649 = 130321 (1.297): 2^7 3^2 11^1 + 7^6 = 19^4
2,3,5,13,23: 6877 + 8748 = 15625 (1.061): 13^1 23^2 + 2^2 3^7 = 5^6
2,3,5,13,23: 3159 + 13225 = 16384 (1.066): 3^5 13^1 + 5^2 23^2 = 2^14
2,3,5,13,23: 5 + 28561 = 28566 (1.127): 5^1 + 13^4 = 2^1 3^3 23^2
2,3,5,13,23: 169 + 58880 = 59049 (1.207): 13^2 + 2^9 5^1 23^1 = 3^10
2,3,7,13,17: 1 + 31212 = 31213 (1.133): 1 + 2^2 3^3 17^2 = 7^4 13^1
2,3,5,17,19: 19 + 15606 = 15625 (1.052): 19^1 + 2^1 3^3 17^2 = 5^6
2,5,7,11,13: 12005 + 161051 = 173056 (1.309): 5^1 7^4 + 11^5 = 2^10 13^2
2,3,7,11,23: 529 + 14112 = 14641 (1.035): 23^2 + 2^5 3^2 7^2 = 11^4
2,3,5,13,29: 16 + 21125 = 21141 (1.067): 2^4 + 5^3 13^2 = 3^6 29^1
2,3,5,17,23: 17 + 12150 = 12167 (1.004): 17^1 + 2^1 3^5 5^2 = 23^3
2,3,5,17,23: 3125 + 14283 = 17408 (1.042): 5^5 + 3^3 23^2 = 2^10 17^1
2,3,7,13,23: 23 + 21609 = 21632 (1.058): 23^1 + 3^2 7^4 = 2^7 13^2
2,3,7,13,23: 4096 + 55223 = 59319 (1.165): 2^12 + 7^4 23^1 = 3^3 13^3
2,5,7,11,17: 16 + 34375 = 34391 (1.102): 2^4 + 5^5 11^1 = 7^1 17^3
2,3,5,19,23: 95 + 279841 = 279936 (1.323): 5^1 19^1 + 23^4 = 2^7 3^7
2,3,7,11,29: 29 + 19683 = 19712 (1.041): 29^1 + 3^9 = 2^8 7^1 11^1
2,3,7,11,29: 6728 + 19683 = 26411 (1.071): 2^3 29^2 + 3^9 = 7^4 11^1
2,3,7,11,29: 14641 + 73167 = 87808 (1.198): 11^4 + 3^1 29^3 = 2^8 7^3
2,3,11,13,17: 121 + 19652 = 19773 (1.032): 11^2 + 2^2 17^3 = 3^2 13^3
2,3,11,13,17: 6591 + 83521 = 90112 (1.190): 3^1 13^3 + 17^4 = 2^13 11^1
2,3,5,17,29: 289 + 20736 = 21025 (1.037): 17^2 + 2^8 3^4 = 5^2 29^2
2,3,5,17,29: 1 + 83520 = 83521 (1.180): 1 + 2^6 3^2 5^1 29^1 = 17^4
2,3,5,17,29: 24389 + 393216 = 417605 (1.348): 29^3 + 2^17 3^1 = 5^1 17^4
2,5,7,13,17: 2401 + 16384 = 18785 (1.020): 7^4 + 2^14 = 5^1 13^1 17^2
2,3,7,13,29: 7569 + 57967 = 65536 (1.147): 3^2 29^2 + 7^3 13^2 = 2^16
2,3,7,13,29: 28561 + 89088 = 117649 (1.207): 13^4 + 2^10 3^1 29^1 = 7^6
2,3,11,13,19: 128 + 20449 = 20577 (1.024): 2^7 + 11^2 13^2 = 3^1 19^3
