# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1632201497, of rank 8, where
# S is the set of the first 40 primes.
# It contains 1476 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 1208750 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(34,40401)
(-5954702/10201,39006026733/1030301)
(-6379946/5625,5550614533/421875)
(7197296/4489,22813897927/300763)
(17977228/3481,76672946577/205379)
(-11963066/10201,4530034101/1030301)
(2790667/6889,23566200066/571787)
(-11823464/10609,17207006163/1092727)
(2801296/11449,49713949983/1225043)
(4454671/6889,24940558848/571787)
(13178593/676,47846635023/17576)
(-7204858/6241,4771130135/493039)
(-7272226/6241,3489135431/493039)
(2212286/6889,23333665757/571787)
(-6633278/11881,49451982555/1295029)
(789457/7744,27540752871/681472)
(-8035204/6889,3852740777/571787)
(3975059/4225,13634849002/274625)
(9118448/5329,31704436355/389017)
(-2443808/7569,26328130019/658503)
(1506308/7921,28541047027/704969)
(4845826/7569,28662783607/658503)
(15127912/9,58839433721/27)
(-13395974/13225,37033030101/1520875)
(22304488/6241,107205557547/493039)
(21032272/8281,101146619055/753571)
(442873/9604,38025782355/941192)
(2115089/5476,16657735271/405224)
(-945494/15625,78901897029/1953125)
(3117094/15625,79098932547/1953125)
(10448807/961,33796803380/29791)
(2837767/10609,44404799976/1092727)
(32433934/121,184713850389/1331)
(9150472/8649,42687208601/804357)
(14650894/15625,96804699603/1953125)
(1639412/10201,41677583665/1030301)
(25344208/9409,132811501275/912673)
(-503597/6561,21467514878/531441)
(-14649848/17689,76746020751/2352637)
(20338351/2809,91919016108/148877)
(-12217607/11236,22171779117/1191016)
(20335276/15625,120977138649/1953125)
(20288977/3844,91894049991/238328)
(16245982/6561,68911648615/531441)
(12755968/19321,117677175807/2685619)
(-9684436/11881,42767727511/1295029)
(19331978/5041,86220277033/357911)
(-5350748/12321,53848851605/1367631)
(22552636/17689,143195064657/2352637)
(-3748573/7921,27540868010/704969)
(9768511/5625,34966345384/421875)
(9074162/12769,64384276351/1442897)
(27598264/17161,171083645049/2248091)
(25820762,131205965665)
(22808542/3969,109397117719/250047)
(33906202/12769,205858616241/1442897)
(13701361/3600,51461358391/216000)
(26242582/1089,134442063719/35937)
(43345576/5329,285808265853/389017)
(-17468894/24649,138250206987/3869893)
(-4910279/16384,84024443757/2097152)
(21863263/10201,110378005512/1030301)
(26184538/3249,134197184375/185193)
(24278762/6889,121839853739/571787)
(37875346/16129,247350517263/2048383)
(32193697/1156,182672295825/39304)
(-2358257/17689,94978725540/2352637)
(48400762/6889,337518727989/571787)
(53432308/2809,390622621665/148877)
(28119884/5041,149814090221/357911)
(-10508671/10816,30079233599/1124864)
