# Lists of S-integral points (x,y) on the Mordell curves
# y^2 = x^3 + a, with the following constraints:
# we consider only curves of rank r = 4,
# a is bounded by |a| <= 10000,
# S is the set of the first 300 primes.
# It contains 18 curves in total.
# It contains 3886 points in total.
# For each point P, only one of +P, -P is listed.
# Format of the points: "(P(x),P(y))".
# Computing this list took 619074 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a = -9967:
#
(32,151)
(56,407)
(98,965)
(89/4,259/8)
(232/9,2285/27)
(199/9,784/27)
(478/9,10097/27)
(844/9,24371/27)
(1052,34121)
(1124/25,35557/125)
(2186/25,101441/125)
(1103/49,13012/343)
(3662/169,31615/2197)
(8218/9,744983/27)
(7241/16,616133/64)
(9542/361,632369/6859)
(18866/121,2587903/1331)
(13331/25,1539146/125)
(16411/81,2101078/729)
(50612/169,11384125/2197)
(66508/729,17038907/19683)
(72971,19711762)
(162614/2809,63868151/148877)
(172202/3721,67770889/226981)
(104831/4225,20008604/274625)
(195467,86419186)
(319622/10201,148565959/1030301)
(261673/10404,81810827/1061208)
(501694/15129,302920489/1860867)
(900032/22801,781620001/3442951)
(1140134/9409,1213986931/912673)
(1079009/784,1120822319/21952)
(645809/28900,169611127/4913000)
(1071523/2601,1109101490/132651)
(763153/26244,514104857/4251528)
(1783642/9801,2380138039/970299)
(2196866/7921,3255396397/704969)
(1041113/27556,959128765/4574296)
(2764148/16129,4591044727/2048383)
(2956858/8649,5083835977/804357)
(3189908/19321,5690963275/2685619)
(3381857/18496,6214103791/2515456)
(3574928/165649,620130337/67419143)
(7534676/10201,20681950853/1030301)
(10874102/351649,29196170755/208527857)
(18195556/4761,77615410267/328509)
(12915134/508369,29064839051/362467097)
(23316386/17161,112587711527/2248091)
(24006368/466489,113239660853/318611987)
(25012736/931225,87178804859/898632125)
(34033612/700569,189719944165/586376253)
(29326727/808201,141283390696/726572699)
(40739024/1885129,29022201331/2588282117)
(58200506/1234321,422373165523/1371330631)
(54433553/1936,401605843975/85184)
(95602046/390625,934443596531/244140625)
(92067494/1129969,875227338709/1201157047)
(110290082/17161,1158256327129/2248091)
(68249723/935089,556560453638/904231063)
(58953529/1664100,398702171917/2146689000)
(115617586/2692881,1162272251197/4419017721)
(122432494/3744225,1145447204653/7245075375)
(252738298/301401,4017935068865/165469149)
(151884454/7049025,113098182733/18715161375)
(207545579/112225,2989991047358/37595375)
(363670136/6630625,6722499469241/17073859375)
(414641416/13682601,6764400165277/50611941099)
(469843966/11594025,9390751198111/39477655125)
(657187216/5157441,16806801778633/11712548511)
(516918497/1073296,11752052822831/1111934656)
(326879633/14915044,1362677361703/57601899928)
(736874062/13593969,19366779826565/50120963703)
(548267759/14876449,11488851187864/57378463793)
(1239062687/48121969,28135549042040/333822098953)
(1209583999/56205009,275127344416/421368952473)
(2533449188/71791729,112127732377553/608291319817)
(4343122268/452929,286222045628887/304821217)
(4095653296/46991025,260130384395281/322123476375)
(2910162329/13454224,156914056529341/49350093632)
(2238238319/78411025,80049356072372/694329626375)
(5300546896/40259025,385061983440319/255443513625)
(3535915937/18593344,210105768974065/80174499328)
(4875151906/143496441,293969521906847/1718943866739)
(6289201898/102475129,487891294103023/1037355730867)
(11660186078/84033889,1256743234971277/770338660463)
(7966482974/347710609,294257615905109/6483759726023)
(11136849793/158457744,1158292461527873/1994666081472)
(13135620457/22127616,1505447243632331/104088305664)
(12582345064/578739249,244850455021231/13922730113193)
(19997476072/917544681,545676094511101/27793345932171)
(24108857794/699338025,3256373674858697/18493994071125)
(27863486857/12278016,4651071436351781/43022168064)
(30060362558/1193909809,3193936519403963/41253165630377)
(37958064371/23145721,7395296591306918/111354063731)
(44469339209/571783744,9277709883585851/13672492886528)
(37338386249/1733056900,418506887806693/72147158747000)
(38281087639/1737639225,1950828762531088/72433491094125)
(106828058626/3725271225,26530603204247999/227371929217875)
(72005990017/3173519556,7401590826114079/178777050667704)
(127780693771/1041417441,45553635364337002/33607582238511)
(164182904407/2420935209,65454546355293500/119117275088427)
(306219406472/1164242641,169406506540649279/39725123153561)
(130003191961/5122837476,29277779809324067/366661969507224)
(280340055682/6414568281,139288929744536911/513749188193571)
(424054077401/1878355600,276021990722348899/81407931704000)
(685659889804/4812890625,566778400783494967/333894287109375)
(764143229644/3105275625,667754560682085853/173041484203125)
(379050494087/12630837769,185410909487561240/1419541964344603)
