/** 
 * List of all reduced triples (y, x, a) of rational integers satisfying the 
 * Mordell equation    y^2 = x^3 + a    with c(a)<=185 and y>=0.
 * Here, c(a) is the multiplicative function that sends a prime power p^k to p^(min(2,k)).
 * This list contains 557 triples in total.
 * We do not list the only reduced solution for a=0, 1^2 = -1^3 + 0, since c(0) is not defined. 
 *
 * Format: "c(a): y^2 = x^3 + a" (without danger we omit the paranthesis around negative x). 
 * Authors: Rafael von Känel and Benjamin Matschke, 2014
 * License: Creative commons 3.0 by-nc.
49: 76^2 = 15^3 + 2401
49: 98^2 = 21^3 + 343
49: 147^2 = 28^3 + -343
49: 524^2 = 65^3 + -49
49: 1911^2 = 154^3 + -343
49: 7792^2 = 393^3 + 16807
50: 7^2 = -1^3 + 50
50: 9^2 = 11^3 + -1250
50: 71953^2 = 1719^3 + 97656250
52: 5^2 = -3^3 + 52
52: 12^2 = -4^3 + 208
52: 25^2 = 9^3 + -104
52: 44^2 = 12^3 + 208
52: 57^2 = 17^3 + -1664
52: 73^2 = 17^3 + 416
52: 135^2 = 17^3 + 13312
52: 164^2 = 30^3 + -104
52: 272^2 = 42^3 + -104
52: 15735^2 = 881^3 + -436207616
52: 18719^2 = 705^3 + -1664
53: 26^2 = 9^3 + -53
53: 156^2 = 29^3 + -53
55: 3^2 = 4^3 + -55
55: 28^2 = 9^3 + 55
55: 419^2 = 56^3 + -55
57: 7^2 = -2^3 + 57
57: 11^2 = 4^3 + 57
57: 20^2 = 7^3 + 57
60: 2^2 = 4^3 + -60
60: 11^2 = 1^3 + 120
60: 31^2 = 1^3 + 960
60: 1499^2 = -119^3 + 3932160
60: 1586^2 = 136^3 + -60
61: 8^2 = 5^3 + -61
63: 1^2 = 4^3 + -63
63: 6^2 = -3^3 + 63
63: 8^2 = -5^3 + 189
63: 8^2 = 1^3 + 63
63: 36^2 = 9^3 + 567
63: 118^2 = 25^3 + -1701
63: 188^2 = 37^3 + -15309
63: 4024^2 = 253^3 + -1701
63: 13537^2 = 568^3 + -63
65: 1^2 = -4^3 + 65
65: 8^2 = -1^3 + 65
65: 53^2 = 14^3 + 65
65: 14113^2 = 584^3 + 65
67: 110^2 = 23^3 + -67
68: 2^2 = -4^3 + 68
68: 12^2 = 2^3 + 136
68: 28^2 = 8^3 + 272
68: 33^2 = 1^3 + 1088
68: 73^2 = -15^3 + 8704
68: 191^2 = 33^3 + 544
68: 1874^2 = 152^3 + 68
68: 2651^2 = 137^3 + 4456448
71: 14^2 = 5^3 + 71
71: 21^2 = 8^3 + -71
73: 3^2 = -4^3 + 73
73: 9^2 = 2^3 + 73
73: 10^2 = 3^3 + 73
73: 17^2 = 6^3 + 73
73: 611^2 = 72^3 + 73
73: 6717^2 = 356^3 + 73
74: 985^2 = 99^3 + -74
75: 25^2 = 10^3 + -375
75: 61^2 = 16^3 + -375
75: 173^2 = 34^3 + -9375
76: 7^2 = -3^3 + 76
76: 7^2 = 5^3 + -76
76: 7^2 = 17^3 + -4864
76: 8^2 = 6^3 + -152
76: 11^2 = 9^3 + -608
76: 12^2 = -2^3 + 152
76: 69^2 = 17^3 + -152
76: 121^2 = 17^3 + 9728
76: 132^2 = 26^3 + -152
76: 1015^2 = 101^3 + -76
76: 2231^2 = -15^3 + 4980736
76: 12419^2 = 537^3 + -622592
76: 62129^2 = 1569^3 + -2490368
79: 89^2 = 20^3 + -79
79: 302^2 = 45^3 + 79
82: 9^2 = -1^3 + 82
83: 140^2 = 27^3 + -83
84: 13^2 = 1^3 + 168
84: 20^2 = 4^3 + 336
84: 104^2 = 22^3 + 168
87: 16^2 = 7^3 + -87
89: 5^2 = -4^3 + 89
89: 6^2 = 5^3 + -89
89: 9^2 = -2^3 + 89
89: 33^2 = 10^3 + 89
89: 408^2 = 55^3 + 89
90: 9^2 = -9^3 + 810
90: 89^2 = 31^3 + -21870
90: 243^2 = 39^3 + -270
91: 8^2 = -3^3 + 91
92: 5^2 = -7^3 + 368
92: 10^2 = 2^3 + 92
92: 12^2 = 8^3 + -368
92: 19^2 = 9^3 + -368
92: 20^2 = 6^3 + 184
92: 51^2 = -7^3 + 2944
92: 116^2 = 24^3 + -368
92: 180^2 = 32^3 + -368
92: 213^2 = 41^3 + -23552
92: 332^2 = 48^3 + -368
92: 488^2 = 62^3 + -184
92: 15923^2 = 633^3 + -94208
92: 29004^2 = 944^3 + -368
92: 47577^2 = 1313^3 + -368
94: 11^2 = 3^3 + 94
95: 11^2 = 6^3 + -95
97: 77^2 = 18^3 + 97
98: 21^2 = 7^3 + 98
98: 183^2 = -5^3 + 33614
98: 2395^2 = 179^3 + 686
99: 9^2 = -6^3 + 297
99: 10^2 = 1^3 + 99
99: 17^2 = -2^3 + 297
99: 18^2 = 3^3 + 297
99: 19^2 = 4^3 + 297
99: 45^2 = 12^3 + 297
99: 170^2 = 31^3 + -891
99: 199^2 = 34^3 + 297
99: 333^2 = 48^3 + 297
99: 460^2 = -17^3 + 216513
99: 5066^2 = 295^3 + -8019
99: 7910^2 = 397^3 + -2673
99: 50265^2 = 1362^3 + 297
99: 28748141^2 = 93844^3 + 297
100: 4^2 = 6^3 + -200
100: 5^2 = 5^3 + -100
100: 6^2 = -4^3 + 100
100: 15^2 = 5^3 + 100
100: 23^2 = 9^3 + -200
100: 25^2 = -15^3 + 4000
100: 25^2 = 5^3 + 500
