# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 66265, of rank 5, where
# S is the set of the first 140 primes.
# It contains 441 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 467696 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-6,257)
(476013009/2421136,10430699013913/3767287616)
(56988319/8874441,6818983687268/26436959739)
(491946916/11675889,14984426777491/39896512713)
(444600831/5221225,9864894829604/11930499125)
(860801506/3908529,25333627026599/7727161833)
(989200714/731025,31112323012313/625026375)
(-589507266/14569489,265737858367/55611739513)
(343396911/8922169,9357274393196/26650518803)
(1028590264/2614689,33006528090773/4227952113)
(211705719/10452289,9228086497912/33792250337)
(994240354/5377761,31513907362177/12471027759)
(1142781256/2117025,38639911548779/3080271375)
(680451369/3717184,17845505307563/7166730752)
(1250776284/273529,44235364219583/143055667)
(-692540846/18122049,7888000836943/77145562593)
(213951721/12702096,12066359373451/45270270144)
(1080182784/9186961,36217846192387/27845678791)
(-165698034/21911761,26316995954881/102568953241)
(1437034896/552049,54475570526989/410172407)
(1367780454/3822025,50621885820733/7472058875)
(-913163546/23011209,6779973875293/110384769573)
(243986226/25836889,34020809068531/131328906787)
(-878448126/24611521,17606715510767/122097755681)
(512098444/25857225,35775509681753/131483989125)
(1253807601/178084,44396260270231/75151448)
(1853674056/8265625,80042763474671/23763671875)
(1112929264/27154521,52012525968847/141502208931)
(-15167081/22896225,28202458897072/109558436625)
(2392981636/88209,117060142761629/26198073)
(-389399394/37319881,58183212447859/227987153029)
(2485968886/3316041,123958890978211/6038510661)
(-1521142704/38775529,18535277325911/241455219083)
(259851276/45414121,78893544422921/306045761419)
(2151370944/28718881,107363823403307/153904483279)
(2000040051/5909761,89521828173454/14366628991)
(3489671226/410881,206146892355071/263374721)
(-901362626/54686025,100522577464307/404403154875)
(2294194761/42436,109886774463589/8741816)
(2508283656/36276529,137638245859501/218493534167)
(3782647384/416025,232645044891473/268336125)
(3030107046/36663025,176314268585281/221994616375)
(3848555436/13432225,239087863538059/49229104625)
(1466262636/63664441,142307852440289/507978574739)
(-739126719/43692100,71576905548929/288804781000)
(-999085869/43467649,66671149131274/286582209857)
(-1563149991/41731600,31566764018723/269586136000)
(1938656016/66113161,162589367081831/537566112091)
(-2772512214/68541841,5106653585689/567457901639)
(4784852626/1334025,330981073974251/1540798875)
(3037954329/2729104,167448897474557/4508479808)
(1433812659/51595489,109769274558842/370610397487)
(2862346521/31225744,159589555038211/174489457472)
(2092806969/58644964,150104596414963/449103134312)
(-2195105271/65545216,89903963663077/530654068736)
(6800646814/25553025,561807233847863/129170541375)
(1377683136/120978001,346328354963939/1330637032999)
(4836287521/39538944,342367051222961/248620879872)
(4698604356/188101225,738072719578121/2579808300875)
(-4182888711/124322500,232689981054163/1386195875000)
(8841183159/23280625,831817670025452/112329015625)
(3084013056/385454689,1955573124996299/7567631909137)
(-155016201/256992961,1060530649759192/4119854157791)
(16944342031/19263321,2205759739571884/84546715869)
(17128946641/48525156,2243483546809031/338026236696)
(-3249706511/297769536,1309666247687753/5138311113216)
(1148351866/477116649,2683024532342891/10421658964107)
(12280228134/519885601,3341129840389463/11853911588401)
(20028364449/213043216,2945307070437233/3109578780736)
(-15196568349/407434225,986110487698774/8224059831625)
(30672559291/10208025,5371870720291786/32614639875)
(40482207016/417752721,8436448574557181/8538447864519)
(50800285386/90231001,11451960598756189/857104278499)
(147565491/522076801,3070745104499006/11928932826049)
(45648569544/279792529,9827183607584387/4680089632583)
(-21202567991/531118116,629533650828763/12240148101336)
(-33939282014/869129361,2100243618347689/25622802691641)
(3100828186/1014868449,8324347048176529/32330664179793)
(37515006124/827885529,9507803822271953/23820750325917)
(32511083554/941691969,9470989667691793/28897701452703)
(-36415675644/1028164225,4871570254295621/32968085874625)
(29142893056/1292330601,12952761715930391/46457992775349)
(64299406174/817216569,17378318187921653/23361770058003)
(56528226969/24068836,13439996527198243/118081709416)
(88500556666/315950625,26367729967098161/5616022359375)
(-34362890676/1475558569,13126811518710103/56680631310997)
(-47617719536/1463751081,9992429125028297/56001652607979)
(21398518986/1620787081,17086153630173989/65251267093979)
(29414822721/1035938596,9955897203229951/33342719650856)
(-49993180904/1756196649,15296276501704439/73596932969643)
(88353262966/1193771601,28327445736032719/41246002586151)
(107783441616/698280625,35703097851188461/18452065515625)
(3509175666/2032116241,23582063016242231/91605768028039)
(42325849329/1148667664,13276170966777143/38930644468288)
(-72768350624/2135271681,16118289901609829/98668769107329)
(-2465957861/1592728281,16362229365449522/63564192966429)
(-41751042119/1526152356,12758089725025741/59620667939496)
(99170744889/313998400,31263070097952787/5564051648000)
(-95033792076/2513518225,13927933643184157/126015236210375)
(117532648441/124545600,40295347447265011/1389928896000)
(-91550679036/3079473049,34173237173377073/170889197908157)
(54401502426/3181524025,47905949131726451/179453862630125)
(41116177729/2167833600,27287343244686817/100934332416000)
(-22905503109/2318326201,28524636287755106/111625088251949)
(127642260241/914820516,46155721532109031/27669661326936)
(-23765448906/4038729601,65969098659328793/256665304873151)
(261757596574/135699201,133921697762024567/1580759992449)
(163092150759/451860049,65910619781390408/9605189061593)
(39900522894/4665299809,82414169180716487/318653972854127)
(307508882734/256928841,170527682764911187/4118312392389)
(200727178641/1336336,89930968497329081/1544804416)
(-82718520471/3377004544,44564578139600843/196244488060928)
(381479649646/314885025,235621629405060569/5587634768625)
(-160267838604/6466893889,117493718268466661/520048205871713)
(187092197169/3185473600,93224538767718697/179788129984000)
(318098494116/4972083169,200829471603239659/350596500495697)
(-274280055236/9045721881,168562150437629647/860329562380029)
(191564198631/5180688529,127451042044916224/372890418251833)
(175944792064/10098441081,271455216288745247/1014802442670771)
(17803636929/6863128336,146380247816755423/568569003867584)
(435608130894/9217344049,366811559936294063/884929550112343)
(510080471706/10275674161,452340061746163159/1041634814026409)
(766908023836/5076135009,678028505378281579/361659390986223)
(-49961046584/14584185225,453245580534555161/1761259128697125)
(945870942094/437604561,919918283511416257/9154249811559)
(1006560841336/19053225,1009857386363291209/83167327125)
(538503315964/13552452225,566659362735885563/1577708725773375)
(679376101051/695535129,559990730233108106/18343347957117)
(1124184749706/2460854449,1192360044295212151/122075606651543)
(-427522463679/11515006864,151773592356148639/1235652356562112)
(472525696171/15408505161,589851058507463474/1912673154140091)
(995792044336/22922262801,1336236502728451139/3470453510334201)
(156385887564/30290965849,1358508188261542127/5271930569257507)
(1961220856344/9079231225,2755577825631473953/865114547274125)
(906535666969/16152376464,1012051123403624963/2052837829562688)
(2397753381864/1552596409,3712877963587502527/61176956303827)
(704201457091/26101310481,1235942837070441706/4216901619999879)
(2925650432104/6504261201,5006009911741222627/524562161599449)
(651611077849/33909749316,1691291350070016067/6244344697544136)
