# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 1358556, of rank 6, where
# S is the set of the first 84 primes.
# It contains 632 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 894288 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(10,1166)
(-86,850)
(-110,166)
(82,1382)
(-11,1165)
(-83,887)
(517,11813)
(-47/4,9319/8)
(-590/9,28018/27)
(1714,70970)
(2026/9,96470/27)
(205/9,31607/27)
(613/9,34939/27)
(2890/9,158518/27)
(1525/9,67357/27)
(2866/25,211586/125)
(6010/9,466982/27)
(4714/25,354938/125)
(3625/4,218453/8)
(4033/4,256289/8)
(2749/25,204943/125)
(12322,1367798)
(505/36,252019/216)
(-3575/36,133019/216)
(8677,808267)
(8845/49,922937/343)
(24442/81,3914578/729)
(14545/16,1755751/64)
(-3599/100,1145399/1000)
(26962/121,4691138/1331)
(17893/9,2393659/27)
(-14726/225,3504482/3375)
(49402/121,11089418/1331)
(-8459/169,2439715/2197)
(22321/100,3532631/1000)
(-15158/361,7773782/6859)
(-14255/196,2707879/2744)
(442/441,10794358/9261)
(30277/121,5491957/1331)
(-17270/529,13998722/12167)
(23809/256,6024065/4096)
(103378/9,33238574/27)
(76330/361,22552906/6859)
(100930/121,32102446/1331)
(-27047/324,5140189/5832)
(72706/529,24196090/12167)
(38497/256,8935663/4096)
(1474/841,28427170/24389)
(25201/400,10146551/8000)
(84370/729,33569378/19683)
(-91958/841,5520758/24389)
(79522/961,41335222/29791)
(-67454/1089,38047510/35937)
(184234/225,79175602/3375)
(85969/196,25408615/2744)
(50017/576,19615087/13824)
(46525/729,25040753/19683)
(-81647/784,10507001/21952)
(296266/169,161278870/2197)
(-154718/1681,52437542/68921)
(335410,194251334)
(-2327/1024,38193269/32768)
(-193694/2025,63358046/91125)
(148930/2209,133968118/103823)
(-76571/1225,45259717/42875)
(-262478/2401,26848102/117649)
(106402/2601,158461858/132651)
(-143495/1296,1612979/46656)
(141145/1296,75954979/46656)
(-230150/3481,212400086/205379)
(672010/121,550890554/1331)
(660538/729,537332266/19683)
(652570/961,528300194/29791)
(292765/961,162169681/29791)
