# List of S-integral points (x,y) on the Mordell curve
# y^2 = x^3 + 47550317, of rank 7, where
# S is the set of the first 46 primes.
# It contains 506 points in total.
# For each point P, only one of +P, -P is listed.
# Format: "(P(x),P(y))".
# Computing this list took 568953 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
(-37,6892)
(-121,6766)
(-277,5128)
(359,9686)
(641/4,57503/8)
(-1399/4,17467/8)
(2033/4,106985/8)
(67/9,186184/27)
(2047/9,207946/27)
(7433/4,643205/8)
(8327,759890)
(473/16,441443/64)
(1409/16,444481/64)
(-5743/16,73145/64)
(8191/9,764342/27)
(10727,1111030)
(-1103/36,1489015/216)
(23003,3488812)
(-15529/49,1359938/343)
(-8143/64,3453271/512)
(39007/9,7706206/27)
(1879/81,5027606/729)
(33737/64,7131899/512)
(40811/49,8577092/343)
(54137/4,12596371/8)
(49687/81,12162950/729)
(25859/121,10076204/1331)
(-39661/121,4674584/1331)
(-28943/144,10850761/1728)
(69641/100,19629061/1000)
(92497/144,30550951/1728)
(-65561/225,16119262/3375)
(-77561/225,8662762/3375)
(-31993/289,33391654/4913)
(167219/25,68385328/125)
(-88199/324,30515347/5832)
(-114959/324,9901673/5832)
(209921/4,96179807/8)
(140489/256,59754629/4096)
(39449/400,55719043/8000)
(196219/225,89980172/3375)
(236881/144,115905113/1728)
(147209/400,78951323/8000)
(-26917/529,83783360/12167)
(-185893/529,24807184/12167)
(6673/576,95327353/13824)
(-113551/676,114999721/17576)
(406417/144,259368121/1728)
(414089/256,267957979/4096)
(526433/256,383000047/4096)
(132449/1156,275280689/39304)
(100031/1225,297339946/42875)
(125939/1225,299011012/42875)
(51889/1296,321941609/46656)
(692393/484,580801205/10648)
(-468647/1296,24036317/46656)
(612617/1024,530067611/32768)
(568531/2025,760665196/91125)
(-648161/2601,751271194/132651)
(1899137/4,2617185121/8)
(1498841/1600,1887312611/64000)
(1814929/576,2446917191/13824)
(1575841/1764,2043098513/74088)
(572879/3481,1481118194/205379)
(-1146013/3481,707521300/205379)
(1915577/1444,2678106931/54872)
(1424113/2916,2016741527/157464)
(1260523/3249,1906220060/185193)
(1859299/2601,2695235104/132651)
(-887239/4900,2212649741/343000)
(2212001/2704,3429767567/140608)
(-1161271/4900,2007041317/343000)
(1973681/4624,3519870743/314432)
(3434891/529,6366593972/12167)
(2780891/3025,4777220936/166375)
(3300473/1156,6002158867/39304)
(3575921/64,6762105353/512)
(3500807/2209,6589174394/103823)
(1779403/6561,4366198952/531441)
(1531147/7569,4920233876/658503)
(4696679,10178559466)
(2673257/6724,5793057749/551368)
(-2751487/7744,1118897665/681472)
(-927463/8464,5294769149/778688)
(-2924557/8281,1410151952/753571)
(-2879929/9409,3965094898/912673)
(5860031/5929,14530787998/456533)
