# List of all solutions (x,n) of the generalized Ramanujan-Nagell equations
# x^2 + b = c * d^n, where
# x >= 0 is an S-integer and n >= 0 is an integer,
# b = 7,
# c = 1, and
# 2 <= d <=  888.
# It contains 38 pairs in total.
# Format: "(x,n)".
# Computing this list took 106 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# b = 7, c = 1, d = 2:
#
(1,3)
(3,4)
(5,5)
(11,7)
(181,15)
#
# b = 7, c = 1, d = 4:
#
(3,2)
#
# b = 7, c = 1, d = 7:
#
(0,1)
#
# b = 7, c = 1, d = 8:
#
(1,1)
(181,5)
#
# b = 7, c = 1, d = 11:
#
(2,1)
#
# b = 7, c = 1, d = 16:
#
(3,1)
#
# b = 7, c = 1, d = 23:
#
(4,1)
#
# b = 7, c = 1, d = 32:
#
(5,1)
(181,3)
#
# b = 7, c = 1, d = 43:
#
(6,1)
#
# b = 7, c = 1, d = 56:
#
(7,1)
#
# b = 7, c = 1, d = 71:
#
(8,1)
#
# b = 7, c = 1, d = 88:
#
(9,1)
#
# b = 7, c = 1, d = 107:
#
(10,1)
#
# b = 7, c = 1, d = 128:
#
(11,1)
#
# b = 7, c = 1, d = 151:
#
(12,1)
#
# b = 7, c = 1, d = 176:
#
(13,1)
#
# b = 7, c = 1, d = 203:
#
(14,1)
#
# b = 7, c = 1, d = 232:
#
(15,1)
#
# b = 7, c = 1, d = 263:
#
(16,1)
#
# b = 7, c = 1, d = 296:
#
(17,1)
#
# b = 7, c = 1, d = 331:
#
(18,1)
#
# b = 7, c = 1, d = 368:
#
(19,1)
#
# b = 7, c = 1, d = 407:
#
(20,1)
#
# b = 7, c = 1, d = 448:
#
(21,1)
#
# b = 7, c = 1, d = 491:
#
(22,1)
#
# b = 7, c = 1, d = 536:
#
(23,1)
#
# b = 7, c = 1, d = 583:
#
(24,1)
#
# b = 7, c = 1, d = 632:
#
(25,1)
#
# b = 7, c = 1, d = 683:
#
(26,1)
#
# b = 7, c = 1, d = 736:
#
(27,1)
#
# b = 7, c = 1, d = 791:
#
(28,1)
#
# b = 7, c = 1, d = 848:
#
(29,1)
