# List of all S-integral points on all rational elliptic curves (using Cremona's database) up to conductor 100,
# where S is the set of the first 10000 primes.
# It contains 1724 points in total.
# Format: "(x,y)".
# Computing this list took 121892 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
# a-invariants: (0, -1, 1, -10, -20)
# Cremona label: 11a1
#
# a-invariants: (1, -1, 1, -3, 3)
# Cremona label: 26b1
#
(-1,-2)
(-1,2)
(1,0)
(1,-2)
(3,2)
(3,-6)
#
# a-invariants: (1, -1, 1, -213, -1257)
# Cremona label: 26b2
#
#
# a-invariants: (0, 0, 1, 0, -7)
# Cremona label: 27a1
#
(3,4)
(3,-5)
#
# a-invariants: (0, 0, 1, -270, -1708)
# Cremona label: 27a2
#
#
# a-invariants: (0, 0, 1, 0, 0)
# Cremona label: 27a3
#
(0,-1)
(0,0)
#
# a-invariants: (0, 0, 1, -30, 63)
# Cremona label: 27a4
#
(3,0)
(3,-1)
#
# a-invariants: (1, 0, 1, 1, 2)
# Cremona label: 30a1
#
(3,-8)
(0,-2)
(0,1)
(3,4)
(-1,0)
#
# a-invariants: (1, 0, 1, -19, 26)
# Cremona label: 30a2
#
(4,-7)
(13,-52)
(-2,8)
(1,-4)
(3,-2)
(4,2)
(-2,-7)
(7/4,-11/8)
(13,38)
(1,2)
(-5,2)
#
# a-invariants: (1, 0, 1, -14, -64)
# Cremona label: 30a3
#
(5,-3)
#
# a-invariants: (1, 0, 1, -69, -194)
# Cremona label: 30a4
#
(-4,-3)
(-4,6)
(14,-48)
(14,33)
(-25/4,21/8)
#
# a-invariants: (1, 0, 1, -289, 1862)
# Cremona label: 30a5
#
(39/4,-43/8)
(16,29)
(10,-7)
(10,-4)
(16,-46)
#
# a-invariants: (1, 0, 1, -334, -2368)
# Cremona label: 30a6
#
(-11,5)
(-41/4,37/8)
(21,-11)
#
# a-invariants: (1, 0, 1, -5334, -150368)
# Cremona label: 30a7
#
(-169/4,165/8)
#
# a-invariants: (1, 0, 1, -454, -544)
# Cremona label: 30a8
#
(87/4,-91/8)
#
# a-invariants: (0, 0, 0, 4, 0)
# Cremona label: 32a1
#
(0,0)
(2,-4)
(2,4)
#
# a-invariants: (0, 0, 0, -1, 0)
# Cremona label: 32a2
#
(-1,0)
(0,0)
(1,0)
#
# a-invariants: (0, 0, 0, -11, -14)
# Cremona label: 32a3
#
(-2,0)
#
# a-invariants: (0, 0, 0, -11, 14)
# Cremona label: 32a4
#
(1,-2)
(2,0)
(1,2)
#
# a-invariants: (1, 1, 0, -11, 0)
# Cremona label: 33a1
#
(0,0)
(11/4,-11/8)
(-4,2)
#
# a-invariants: (1, 1, 0, -6, -9)
# Cremona label: 33a2
#
(-2,1)
#
# a-invariants: (1, 1, 0, -146, 621)
# Cremona label: 33a3
#
(27/4,-27/8)
(4,-13)
(4,9)
#
# a-invariants: (1, 1, 0, 44, 55)
# Cremona label: 33a4
#
(-5/4,5/8)
#
# a-invariants: (1, 0, 0, -3, 1)
# Cremona label: 34a1
#
(0,-1)
(2,-3)
(0,1)
(2,1)
(-2,1)
#
# a-invariants: (1, 0, 0, -43, 105)
# Cremona label: 34a2
#
(8,-21)
(15/4,-15/8)
(4,-1)
(4,-3)
(8,13)
#
# a-invariants: (1, 0, 0, -103, -411)
# Cremona label: 34a3
#
(-6,3)
#
# a-invariants: (1, 0, 0, -113, -329)
# Cremona label: 34a4
#
(47/4,-47/8)
#
# a-invariants: (0, 1, 1, 9, 1)
# Cremona label: 35a1
#
(1,-4)
(1,3)
#
# a-invariants: (0, 1, 1, -131, -650)
# Cremona label: 35a2
#
#
# a-invariants: (0, 1, 1, -1, 0)
# Cremona label: 35a3
#
(0,-1)
(0,0)
#
# a-invariants: (0, 0, 0, 0, 1)
# Cremona label: 36a1
#
(0,-1)
(2,-3)
(0,1)
(2,3)
(-1,0)
#
# a-invariants: (0, 0, 0, -15, 22)
# Cremona label: 36a2
#
(3,-2)
(2,0)
(3,2)
(-1,6)
(-1,-6)
#
# a-invariants: (0, 0, 0, 0, -27)
# Cremona label: 36a3
#
(3,0)
#
# a-invariants: (0, 0, 0, -135, -594)
# Cremona label: 36a4
#
(-6,0)
#
# a-invariants: (0, 0, 1, -1, 0)
# Cremona label: 37a1
#
(0,-1)
(0,0)
(1,-1)
(1,0)
(-1,0)
(-1,-1)
(2,-3)
(2,2)
(1/4,-3/8)
(1/4,-5/8)
(6,-15)
(6,14)
(-5/9,8/27)
(-5/9,-35/27)
(21/25,-56/125)
(21/25,-69/125)
(-20/49,92/343)
(-20/49,-435/343)
(161/16,-2065/64)
(161/16,2001/64)
(116/529,-3612/12167)
(116/529,-8555/12167)
(1357/841,28888/24389)
(1357/841,-53277/24389)
(-3741/3481,-162024/205379)
(-3741/3481,-43355/205379)
(18526/16641,-2616119/2146689)
(18526/16641,469430/2146689)
(8385/98596,-2882165/30959144)
(8385/98596,-28076979/30959144)
(480106/4225,-332788379/274625)
(480106/4225,332513754/274625)
(-239785/2337841,-3906507129/3574558889)
(-239785/2337841,331948240/3574558889)
(12551561/13608721,-41922509264/50202571769)
(12551561/13608721,-8280062505/50202571769)
(-59997896/67387681,-641260644409/553185473329)
(-59997896/67387681,88075171080/553185473329)
(683916417/264517696,14482338863553/4302115807744)
(683916417/264517696,-18784454671297/4302115807744)
(1849037896/6941055969,-318128427505160/578280195945297)
(1849037896/6941055969,-260151768440137/578280195945297)
(51678803961/12925188721,-12133184284073305/1469451780501769)
(51678803961/12925188721,10663732503571536/1469451780501769)
(4881674119706/5677664356225,-8938035295591025771/13528653463047586625)
(4881674119706/5677664356225,-4590618167456560854/13528653463047586625)
(-16683000076735/61935294530404,100886180199254542253/487424450554237378792)
(-16683000076735/61935294530404,-588310630753491921045/487424450554237378792)
(2786836257692691/16063784753682169,-1600059682932627475385835/2035972062206737347698803)
(2786836257692691/16063784753682169,-435912379274109872312968/2035972062206737347698803)
(213822353304561757/158432514799144041,41974401721854929811774227/63061816101171948456692661)
(213822353304561757/158432514799144041,-105036217823026878268466888/63061816101171948456692661)
(-280251129922563291422645/1262082793174195430038441,-1671718055004040020388958925246733656/1417854835344178787714550500916300011)
(-280251129922563291422645/1262082793174195430038441,253863219659861232674408424330433645/1417854835344178787714550500916300011)
(-804287518035141565236193151/1063198259901027900600665796,8921582208740800454475419505849438719515/34667409118422632032070193604742966179656)
(-804287518035141565236193151/1063198259901027900600665796,-43588991327163432486545613110592404899171/34667409118422632032070193604742966179656)
#
# a-invariants: (0, 1, 1, -23, -50)
# Cremona label: 37b1
#
(8,18)
(8,-19)
#
# a-invariants: (0, 1, 1, -1873, -31833)
# Cremona label: 37b2
#
#
# a-invariants: (0, 1, 1, -3, 1)
# Cremona label: 37b3
#
(1,0)
(1,-1)
#
# a-invariants: (1, 0, 1, 9, 90)
# Cremona label: 38a1
#
(0,-10)
(0,9)
#
# a-invariants: (1, 0, 1, -86, -2456)
# Cremona label: 38a2
#
#
# a-invariants: (1, 0, 1, -16, 22)
# Cremona label: 38a3
#
(2,-1)
(2,-2)
#
# a-invariants: (1, 1, 1, 0, 1)
# Cremona label: 38b1
#
(1,1)
(1,-3)
(-1,-1)
(-1,1)
#
# a-invariants: (1, 1, 1, -70, -279)
# Cremona label: 38b2
#
#
# a-invariants: (1, 1, 0, -4, -5)
# Cremona label: 39a1
#
(2,-1)
(-5/4,5/8)
(-2,1)
#
# a-invariants: (1, 1, 0, -69, -252)
# Cremona label: 39a2
#
(-21/4,21/8)
#
# a-invariants: (1, 1, 0, -19, 22)
# Cremona label: 39a3
#
(6,10)
(11/4,-11/8)
(6,-16)
#
# a-invariants: (1, 1, 0, 1, 0)
# Cremona label: 39a4
#
(0,0)
#
# a-invariants: (0, 0, 0, -7, -6)
# Cremona label: 40a1
#
(-1,0)
(-2,0)
(3,0)
#
# a-invariants: (0, 0, 0, -107, -426)
# Cremona label: 40a2
#
(-6,0)
#
# a-invariants: (0, 0, 0, -2, 1)
# Cremona label: 40a3
#
(0,-1)
(0,1)
(1,0)
#
# a-invariants: (0, 0, 0, 13, -34)
# Cremona label: 40a4
#
(7,-20)
(2,0)
(7,20)
#
# a-invariants: (1, 1, 1, -4, 5)
# Cremona label: 42a1
#
(-1,3)
(1,-3)
(-3,1)
(1,1)
(5,9)
(-1,-3)
(5,-15)
#
# a-invariants: (1, 1, 1, -84, 261)
# Cremona label: 42a2
#
(7,5)
(3,-9)
(-11,5)
(19/4,-23/8)
(5,-3)
(7,-13)
(3,5)
#
# a-invariants: (1, 1, 1, -104, 101)
# Cremona label: 42a3
#
(9,-5)
(1,-1)
(-45/4,41/8)
#
# a-invariants: (1, 1, 1, -1344, 18405)
# Cremona label: 42a4
#
(21,-9)
(21,-13)
(83/4,-87/8)
#
# a-invariants: (1, 1, 1, -914, -10915)
# Cremona label: 42a5
#
(-77/4,73/8)
#
# a-invariants: (1, 1, 1, 386, 1277)
# Cremona label: 42a6
#
(-13/4,9/8)
#
# a-invariants: (0, 1, 1, 0, 0)
# Cremona label: 43a1
#
(0,-1)
(0,0)
(-1,-1)
(-1,0)
(1,1)
(1,-2)
(2,3)
(2,-4)
(-3/4,1/8)
(-3/4,-9/8)
(-2/9,1/27)
(-2/9,-28/27)
(21,98)
(21,-99)
(11/49,-363/343)
(11/49,20/343)
(-140/121,-400/1331)
(-140/121,-931/1331)
(209/400,2527/8000)
(209/400,-10527/8000)
(1740/361,76400/6859)
(1740/361,-83259/6859)
(-3629/7569,-729620/658503)
(-3629/7569,71117/658503)
(-17139/36481,737371/6967871)
(-17139/36481,-7705242/6967871)
(194438/38809,90160188/7645373)
(194438/38809,-97805561/7645373)
(528157/1036324,-1372862351/1054977832)
(528157/1036324,317884519/1054977832)
(-8338438/7187761,-13217218757/19270387241)
(-8338438/7187761,-6053168484/19270387241)
(15659721/67092481,34731392058/549554511871)
(15659721/67092481,-584285903929/549554511871)
(665838199/34117281,-17715783977801/199279038321)
(665838199/34117281,17516504939480/199279038321)
(-1524968280/6607901521,-558321219582400/537149706740569)
(-1524968280/6607901521,21171512841831/537149706740569)
