"r","f(r)","w(r)","a","f(a)","w(a)","b","f(b)","w(b)","c","f(c)","w(c)"
2,"2",1,1,"",0,1,"",0,2,"2^1",1
6,"2*3",2,1,"",0,2,"2^1",1,3,"3^1",1
6,"2*3",2,1,"",0,3,"3^1",1,4,"2^2",1
6,"2*3",2,1,"",0,8,"2^3",1,9,"3^2",1
10,"2*5",2,1,"",0,4,"2^2",1,5,"5^1",1
14,"2*7",2,1,"",0,7,"7^1",1,8,"2^3",1
30,"2*3*5",3,1,"",0,5,"5^1",1,6,"2^1*3^1",2
30,"2*3*5",3,1,"",0,9,"3^2",1,10,"2^1*5^1",2
30,"2*3*5",3,1,"",0,15,"3^1*5^1",2,16,"2^4",1
30,"2*3*5",3,1,"",0,24,"2^3*3^1",2,25,"5^2",1
30,"2*3*5",3,1,"",0,80,"2^4*5^1",2,81,"3^4",1
30,"2*3*5",3,2,"2^1",1,3,"3^1",1,5,"5^1",1
30,"2*3*5",3,2,"2^1",1,25,"5^2",1,27,"3^3",1
30,"2*3*5",3,3,"3^1",1,5,"5^1",1,8,"2^3",1
30,"2*3*5",3,3,"3^1",1,125,"5^3",1,128,"2^7",1
30,"2*3*5",3,4,"2^2",1,5,"5^1",1,9,"3^2",1
30,"2*3*5",3,5,"5^1",1,27,"3^3",1,32,"2^5",1
30,"2*3*5",3,9,"3^2",1,16,"2^4",1,25,"5^2",1
34,"2*17",2,1,"",0,16,"2^4",1,17,"17^1",1
42,"2*3*7",3,1,"",0,6,"2^1*3^1",2,7,"7^1",1
42,"2*3*7",3,1,"",0,27,"3^3",1,28,"2^2*7^1",2
42,"2*3*7",3,1,"",0,48,"2^4*3^1",2,49,"7^2",1
42,"2*3*7",3,1,"",0,63,"3^2*7^1",2,64,"2^6",1
42,"2*3*7",3,2,"2^1",1,7,"7^1",1,9,"3^2",1
42,"2*3*7",3,3,"3^1",1,4,"2^2",1,7,"7^1",1
42,"2*3*7",3,7,"7^1",1,9,"3^2",1,16,"2^4",1
42,"2*3*7",3,32,"2^5",1,49,"7^2",1,81,"3^4",1
66,"2*3*11",3,1,"",0,11,"11^1",1,12,"2^2*3^1",2
66,"2*3*11",3,1,"",0,32,"2^5",1,33,"3^1*11^1",2
66,"2*3*11",3,1,"",0,242,"2^1*11^2",2,243,"3^5",1
66,"2*3*11",3,2,"2^1",1,9,"3^2",1,11,"11^1",1
66,"2*3*11",3,3,"3^1",1,8,"2^3",1,11,"11^1",1
66,"2*3*11",3,11,"11^1",1,16,"2^4",1,27,"3^3",1
70,"2*5*7",3,1,"",0,49,"7^2",1,50,"2^1*5^2",2
70,"2*5*7",3,2,"2^1",1,5,"5^1",1,7,"7^1",1
70,"2*5*7",3,7,"7^1",1,25,"5^2",1,32,"2^5",1
78,"2*3*13",3,1,"",0,12,"2^2*3^1",2,13,"13^1",1
78,"2*3*13",3,1,"",0,26,"2^1*13^1",2,27,"3^3",1
78,"2*3*13",3,3,"3^1",1,13,"13^1",1,16,"2^4",1
78,"2*3*13",3,4,"2^2",1,9,"3^2",1,13,"13^1",1
78,"2*3*13",3,13,"13^1",1,243,"3^5",1,256,"2^8",1
102,"2*3*17",3,1,"",0,17,"17^1",1,18,"2^1*3^2",2
102,"2*3*17",3,1,"",0,288,"2^5*3^2",2,289,"17^2",1
102,"2*3*17",3,8,"2^3",1,9,"3^2",1,17,"17^1",1
102,"2*3*17",3,17,"17^1",1,64,"2^6",1,81,"3^4",1
110,"2*5*11",3,1,"",0,10,"2^1*5^1",2,11,"11^1",1
110,"2*5*11",3,4,"2^2",1,121,"11^2",1,125,"5^3",1
110,"2*5*11",3,5,"5^1",1,11,"11^1",1,16,"2^4",1
114,"2*3*19",3,1,"",0,18,"2^1*3^2",2,19,"19^1",1
114,"2*3*19",3,1,"",0,512,"2^9",1,513,"3^3*19^1",2
114,"2*3*19",3,3,"3^1",1,16,"2^4",1,19,"19^1",1
114,"2*3*19",3,8,"2^3",1,19,"19^1",1,27,"3^3",1
130,"2*5*13",3,1,"",0,25,"5^2",1,26,"2^1*13^1",2
130,"2*5*13",3,1,"",0,64,"2^6",1,65,"5^1*13^1",2
130,"2*5*13",3,5,"5^1",1,8,"2^3",1,13,"13^1",1
138,"2*3*23",3,1,"",0,23,"23^1",1,24,"2^3*3^1",2
138,"2*3*23",3,4,"2^2",1,23,"23^1",1,27,"3^3",1
138,"2*3*23",3,9,"3^2",1,23,"23^1",1,32,"2^5",1
154,"2*7*11",3,4,"2^2",1,7,"7^1",1,11,"11^1",1
154,"2*7*11",3,7,"7^1",1,121,"11^2",1,128,"2^7",1
170,"2*5*17",3,8,"2^3",1,17,"17^1",1,25,"5^2",1
174,"2*3*29",3,2,"2^1",1,27,"3^3",1,29,"29^1",1
174,"2*3*29",3,3,"3^1",1,29,"29^1",1,32,"2^5",1
182,"2*7*13",3,1,"",0,13,"13^1",1,14,"2^1*7^1",2
182,"2*7*13",3,169,"13^2",1,343,"7^3",1,512,"2^9",1
190,"2*5*19",3,1,"",0,19,"19^1",1,20,"2^2*5^1",2
210,"2*3*5*7",4,1,"",0,14,"2^1*7^1",2,15,"3^1*5^1",2
210,"2*3*5*7",4,1,"",0,20,"2^2*5^1",2,21,"3^1*7^1",2
210,"2*3*5*7",4,1,"",0,35,"5^1*7^1",2,36,"2^2*3^2",2
210,"2*3*5*7",4,1,"",0,125,"5^3",1,126,"2^1*3^2*7^1",3
210,"2*3*5*7",4,1,"",0,224,"2^5*7^1",2,225,"3^2*5^2",2
210,"2*3*5*7",4,1,"",0,2400,"2^5*3^1*5^2",3,2401,"7^4",1
210,"2*3*5*7",4,1,"",0,4374,"2^1*3^7",2,4375,"5^4*7^1",2
210,"2*3*5*7",4,2,"2^1",1,243,"3^5",1,245,"5^1*7^2",2
210,"2*3*5*7",4,3,"3^1",1,7,"7^1",1,10,"2^1*5^1",2
210,"2*3*5*7",4,3,"3^1",1,25,"5^2",1,28,"2^2*7^1",2
210,"2*3*5*7",4,3,"3^1",1,32,"2^5",1,35,"5^1*7^1",2
210,"2*3*5*7",4,4,"2^2",1,21,"3^1*7^1",2,25,"5^2",1
210,"2*3*5*7",4,4,"2^2",1,45,"3^2*5^1",2,49,"7^2",1
210,"2*3*5*7",4,5,"5^1",1,7,"7^1",1,12,"2^2*3^1",2
210,"2*3*5*7",4,5,"5^1",1,9,"3^2",1,14,"2^1*7^1",2
210,"2*3*5*7",4,5,"5^1",1,16,"2^4",1,21,"3^1*7^1",2
210,"2*3*5*7",4,5,"5^1",1,49,"7^2",1,54,"2^1*3^3",2
210,"2*3*5*7",4,5,"5^1",1,1024,"2^10",1,1029,"3^1*7^3",2
210,"2*3*5*7",4,7,"7^1",1,8,"2^3",1,15,"3^1*5^1",2
210,"2*3*5*7",4,7,"7^1",1,18,"2^1*3^2",2,25,"5^2",1
210,"2*3*5*7",4,7,"7^1",1,20,"2^2*5^1",2,27,"3^3",1
210,"2*3*5*7",4,7,"7^1",1,128,"2^7",1,135,"3^3*5^1",2
210,"2*3*5*7",4,7,"7^1",1,243,"3^5",1,250,"2^1*5^3",2
210,"2*3*5*7",4,8,"2^3",1,27,"3^3",1,35,"5^1*7^1",2
210,"2*3*5*7",4,9,"3^2",1,40,"2^3*5^1",2,49,"7^2",1
210,"2*3*5*7",4,15,"3^1*5^1",2,49,"7^2",1,64,"2^6",1
210,"2*3*5*7",4,24,"2^3*3^1",2,25,"5^2",1,49,"7^2",1
210,"2*3*5*7",4,25,"5^2",1,56,"2^3*7^1",2,81,"3^4",1
210,"2*3*5*7",4,27,"3^3",1,98,"2^1*7^2",2,125,"5^3",1
210,"2*3*5*7",4,32,"2^5",1,343,"7^3",1,375,"3^1*5^3",2
210,"2*3*5*7",4,49,"7^2",1,576,"2^6*3^2",2,625,"5^4",1
210,"2*3*5*7",4,64,"2^6",1,125,"5^3",1,189,"3^3*7^1",2
210,"2*3*5*7",4,81,"3^4",1,175,"5^2*7^1",2,256,"2^8",1
210,"2*3*5*7",4,100,"2^2*5^2",2,243,"3^5",1,343,"7^3",1
230,"2*5*23",3,2,"2^1",1,23,"23^1",1,25,"5^2",1
238,"2*7*17",3,17,"17^1",1,32,"2^5",1,49,"7^2",1
286,"2*11*13",3,2,"2^1",1,11,"11^1",1,13,"13^1",1
290,"2*5*29",3,4,"2^2",1,25,"5^2",1,29,"29^1",1
322,"2*7*23",3,7,"7^1",1,16,"2^4",1,23,"23^1",1
330,"2*3*5*11",4,1,"",0,44,"2^2*11^1",2,45,"3^2*5^1",2
330,"2*3*5*11",4,1,"",0,54,"2^1*3^3",2,55,"5^1*11^1",2
330,"2*3*5*11",4,1,"",0,99,"3^2*11^1",2,100,"2^2*5^2",2
330,"2*3*5*11",4,1,"",0,120,"2^3*3^1*5^1",3,121,"11^2",1
330,"2*3*5*11",4,3,"3^1",1,22,"2^1*11^1",2,25,"5^2",1
330,"2*3*5*11",4,4,"2^2",1,11,"11^1",1,15,"3^1*5^1",2
330,"2*3*5*11",4,5,"5^1",1,6,"2^1*3^1",2,11,"11^1",1
330,"2*3*5*11",4,5,"5^1",1,22,"2^1*11^1",2,27,"3^3",1
330,"2*3*5*11",4,8,"2^3",1,25,"5^2",1,33,"3^1*11^1",2
330,"2*3*5*11",4,9,"3^2",1,11,"11^1",1,20,"2^2*5^1",2
330,"2*3*5*11",4,9,"3^2",1,55,"5^1*11^1",2,64,"2^6",1
330,"2*3*5*11",4,11,"11^1",1,25,"5^2",1,36,"2^2*3^2",2
330,"2*3*5*11",4,11,"11^1",1,64,"2^6",1,75,"3^1*5^2",2
330,"2*3*5*11",4,25,"5^2",1,96,"2^5*3^1",2,121,"11^2",1
330,"2*3*5*11",4,25,"5^2",1,704,"2^6*11^1",2,729,"3^6",1
330,"2*3*5*11",4,32,"2^5",1,243,"3^5",1,275,"5^2*11^1",2
330,"2*3*5*11",4,40,"2^3*5^1",2,81,"3^4",1,121,"11^2",1
330,"2*3*5*11",4,44,"2^2*11^1",2,81,"3^4",1,125,"5^3",1
330,"2*3*5*11",4,81,"3^4",1,1250,"2^1*5^4",2,1331,"11^3",1
330,"2*3*5*11",4,121,"11^2",1,135,"3^3*5^1",2,256,"2^8",1
330,"2*3*5*11",4,625,"5^4",1,2048,"2^11",1,2673,"3^5*11^1",2
390,"2*3*5*13",4,1,"",0,39,"3^1*13^1",2,40,"2^3*5^1",2
390,"2*3*5*13",4,1,"",0,324,"2^2*3^4",2,325,"5^2*13^1",2
390,"2*3*5*13",4,1,"",0,624,"2^4*3^1*13^1",3,625,"5^4",1
390,"2*3*5*13",4,1,"",0,675,"3^3*5^2",2,676,"2^2*13^2",2
390,"2*3*5*13",4,2,"2^1",1,13,"13^1",1,15,"3^1*5^1",2
390,"2*3*5*13",4,3,"3^1",1,10,"2^1*5^1",2,13,"13^1",1
390,"2*3*5*13",4,5,"5^1",1,13,"13^1",1,18,"2^1*3^2",2
390,"2*3*5*13",4,5,"5^1",1,507,"3^1*13^2",2,512,"2^9",1
390,"2*3*5*13",4,8,"2^3",1,117,"3^2*13^1",2,125,"5^3",1
390,"2*3*5*13",4,9,"3^2",1,160,"2^5*5^1",2,169,"13^2",1
390,"2*3*5*13",4,10,"2^1*5^1",2,2187,"3^7",1,2197,"13^3",1
390,"2*3*5*13",4,12,"2^2*3^1",2,13,"13^1",1,25,"5^2",1
390,"2*3*5*13",4,13,"13^1",1,27,"3^3",1,40,"2^3*5^1",2
390,"2*3*5*13",4,13,"13^1",1,32,"2^5",1,45,"3^2*5^1",2
390,"2*3*5*13",4,16,"2^4",1,65,"5^1*13^1",2,81,"3^4",1
390,"2*3*5*13",4,25,"5^2",1,27,"3^3",1,52,"2^2*13^1",2
390,"2*3*5*13",4,25,"5^2",1,39,"3^1*13^1",2,64,"2^6",1
390,"2*3*5*13",4,25,"5^2",1,144,"2^4*3^2",2,169,"13^2",1
390,"2*3*5*13",4,81,"3^4",1,169,"13^2",1,250,"2^1*5^3",2
390,"2*3*5*13",4,104,"2^3*13^1",2,625,"5^4",1,729,"3^6",1
406,"2*7*29",3,1,"",0,28,"2^2*7^1",2,29,"29^1",1
418,"2*11*19",3,8,"2^3",1,11,"11^1",1,19,"19^1",1
442,"2*13*17",3,4,"2^2",1,13,"13^1",1,17,"17^1",1
462,"2*3*7*11",4,1,"",0,21,"3^1*7^1",2,22,"2^1*11^1",2
462,"2*3*7*11",4,1,"",0,98,"2^1*7^2",2,99,"3^2*11^1",2
462,"2*3*7*11",4,3,"3^1",1,11,"11^1",1,14,"2^1*7^1",2
462,"2*3*7*11",4,4,"2^2",1,77,"7^1*11^1",2,81,"3^4",1
462,"2*3*7*11",4,7,"7^1",1,11,"11^1",1,18,"2^1*3^2",2
462,"2*3*7*11",4,7,"7^1",1,81,"3^4",1,88,"2^3*11^1",2
462,"2*3*7*11",4,8,"2^3",1,1323,"3^3*7^2",2,1331,"11^3",1
462,"2*3*7*11",4,9,"3^2",1,112,"2^4*7^1",2,121,"11^2",1
462,"2*3*7*11",4,9,"3^2",1,343,"7^3",1,352,"2^5*11^1",2
462,"2*3*7*11",4,11,"11^1",1,21,"3^1*7^1",2,32,"2^5",1
462,"2*3*7*11",4,16,"2^4",1,33,"3^1*11^1",2,49,"7^2",1
462,"2*3*7*11",4,22,"2^1*11^1",2,27,"3^3",1,49,"7^2",1
462,"2*3*7*11",4,27,"3^3",1,512,"2^9",1,539,"7^2*11^1",2
462,"2*3*7*11",4,49,"7^2",1,72,"2^3*3^2",2,121,"11^2",1
494,"2*13*19",3,13,"13^1",1,19,"19^1",1,32,"2^5",1
506,"2*11*23",3,1,"",0,22,"2^1*11^1",2,23,"23^1",1
510,"2*3*5*17",4,1,"",0,50,"2^1*5^2",2,51,"3^1*17^1",2
510,"2*3*5*17",4,1,"",0,135,"3^3*5^1",2,136,"2^3*17^1",2
510,"2*3*5*17",4,1,"",0,255,"3^1*5^1*17^1",3,256,"2^8",1
510,"2*3*5*17",4,2,"2^1",1,15,"3^1*5^1",2,17,"17^1",1
510,"2*3*5*17",4,3,"3^1",1,17,"17^1",1,20,"2^2*5^1",2
510,"2*3*5*17",4,4,"2^2",1,81,"3^4",1,85,"5^1*17^1",2
510,"2*3*5*17",4,5,"5^1",1,12,"2^2*3^1",2,17,"17^1",1
510,"2*3*5*17",4,9,"3^2",1,25,"5^2",1,34,"2^1*17^1",2
510,"2*3*5*17",4,10,"2^1*5^1",2,17,"17^1",1,27,"3^3",1
510,"2*3*5*17",4,15,"3^1*5^1",2,17,"17^1",1,32,"2^5",1
510,"2*3*5*17",4,17,"17^1",1,108,"2^2*3^3",2,125,"5^3",1
510,"2*3*5*17",4,25,"5^2",1,128,"2^7",1,153,"3^2*17^1",2
510,"2*3*5*17",4,64,"2^6",1,225,"3^2*5^2",2,289,"17^2",1
510,"2*3*5*17",4,81,"3^4",1,544,"2^5*17^1",2,625,"5^4",1
510,"2*3*5*17",4,125,"5^3",1,2187,"3^7",1,2312,"2^3*17^2",2
546,"2*3*7*13",4,1,"",0,168,"2^3*3^1*7^1",3,169,"13^2",1
546,"2*3*7*13",4,1,"",0,728,"2^3*7^1*13^1",3,729,"3^6",1
546,"2*3*7*13",4,3,"3^1",1,49,"7^2",1,52,"2^2*13^1",2
546,"2*3*7*13",4,6,"2^1*3^1",2,7,"7^1",1,13,"13^1",1
546,"2*3*7*13",4,7,"7^1",1,32,"2^5",1,39,"3^1*13^1",2
546,"2*3*7*13",4,7,"7^1",1,162,"2^1*3^4",2,169,"13^2",1
546,"2*3*7*13",4,8,"2^3",1,13,"13^1",1,21,"3^1*7^1",2
546,"2*3*7*13",4,8,"2^3",1,343,"7^3",1,351,"3^3*13^1",2
546,"2*3*7*13",4,13,"13^1",1,14,"2^1*7^1",2,27,"3^3",1
546,"2*3*7*13",4,13,"13^1",1,36,"2^2*3^2",2,49,"7^2",1
546,"2*3*7*13",4,27,"3^3",1,64,"2^6",1,91,"7^1*13^1",2
546,"2*3*7*13",4,27,"3^3",1,169,"13^2",1,196,"2^2*7^2",2
570,"2*3*5*19",4,1,"",0,75,"3^1*5^2",2,76,"2^2*19^1",2
570,"2*3*5*19",4,1,"",0,95,"5^1*19^1",2,96,"2^5*3^1",2
570,"2*3*5*19",4,1,"",0,360,"2^3*3^2*5^1",3,361,"19^2",1
570,"2*3*5*19",4,1,"",0,1215,"3^5*5^1",2,1216,"2^6*19^1",2
570,"2*3*5*19",4,4,"2^2",1,15,"3^1*5^1",2,19,"19^1",1
570,"2*3*5*19",4,5,"5^1",1,19,"19^1",1,24,"2^3*3^1",2
570,"2*3*5*19",4,5,"5^1",1,76,"2^2*19^1",2,81,"3^4",1
570,"2*3*5*19",4,6,"2^1*3^1",2,19,"19^1",1,25,"5^2",1
570,"2*3*5*19",4,9,"3^2",1,10,"2^1*5^1",2,19,"19^1",1
570,"2*3*5*19",4,19,"19^1",1,45,"3^2*5^1",2,64,"2^6",1
570,"2*3*5*19",4,19,"19^1",1,81,"3^4",1,100,"2^2*5^2",2
570,"2*3*5*19",4,19,"19^1",1,125,"5^3",1,144,"2^4*3^2",2
570,"2*3*5*19",4,25,"5^2",1,32,"2^5",1,57,"3^1*19^1",2
570,"2*3*5*19",4,27,"3^3",1,125,"5^3",1,152,"2^3*19^1",2
570,"2*3*5*19",4,125,"5^3",1,361,"19^2",1,486,"2^1*3^5",2
570,"2*3*5*19",4,243,"3^5",1,1805,"5^1*19^2",2,2048,"2^11",1
646,"2*17*19",3,2,"2^1",1,17,"17^1",1,19,"19^1",1
690,"2*3*5*23",4,1,"",0,45,"3^2*5^1",2,46,"2^1*23^1",2
690,"2*3*5*23",4,1,"",0,575,"5^2*23^1",2,576,"2^6*3^2",2
690,"2*3*5*23",4,3,"3^1",1,20,"2^2*5^1",2,23,"23^1",1
690,"2*3*5*23",4,4,"2^2",1,621,"3^3*23^1",2,625,"5^4",1
690,"2*3*5*23",4,5,"5^1",1,18,"2^1*3^2",2,23,"23^1",1
690,"2*3*5*23",4,5,"5^1",1,64,"2^6",1,69,"3^1*23^1",2
690,"2*3*5*23",4,8,"2^3",1,15,"3^1*5^1",2,23,"23^1",1
690,"2*3*5*23",4,23,"23^1",1,25,"5^2",1,48,"2^4*3^1",2
690,"2*3*5*23",4,23,"23^1",1,27,"3^3",1,50,"2^1*5^2",2
690,"2*3*5*23",4,23,"23^1",1,625,"5^4",1,648,"2^3*3^4",2
690,"2*3*5*23",4,23,"23^1",1,2025,"3^4*5^2",2,2048,"2^11",1
690,"2*3*5*23",4,96,"2^5*3^1",2,529,"23^2",1,625,"5^4",1
690,"2*3*5*23",4,115,"5^1*23^1",2,128,"2^7",1,243,"3^5",1
690,"2*3*5*23",4,125,"5^3",1,243,"3^5",1,368,"2^4*23^1",2
690,"2*3*5*23",4,200,"2^3*5^2",2,529,"23^2",1,729,"3^6",1
714,"2*3*7*17",4,1,"",0,5831,"7^3*17^1",2,5832,"2^3*3^6",2
714,"2*3*7*17",4,2,"2^1",1,49,"7^2",1,51,"3^1*17^1",2
714,"2*3*7*17",4,3,"3^1",1,14,"2^1*7^1",2,17,"17^1",1
714,"2*3*7*17",4,4,"2^2",1,17,"17^1",1,21,"3^1*7^1",2
714,"2*3*7*17",4,7,"7^1",1,17,"17^1",1,24,"2^3*3^1",2
714,"2*3*7*17",4,7,"7^1",1,27,"3^3",1,34,"2^1*17^1",2
714,"2*3*7*17",4,9,"3^2",1,119,"7^1*17^1",2,128,"2^7",1
714,"2*3*7*17",4,17,"17^1",1,81,"3^4",1,98,"2^1*7^2",2
714,"2*3*7*17",4,54,"2^1*3^3",2,289,"17^2",1,343,"7^3",1
714,"2*3*7*17",4,289,"17^2",1,6272,"2^7*7^2",2,6561,"3^8",1
714,"2*3*7*17",4,1024,"2^10",1,1377,"3^4*17^1",2,2401,"7^4",1
754,"2*13*29",3,13,"13^1",1,16,"2^4",1,29,"29^1",1
770,"2*5*7*11",4,1,"",0,55,"5^1*11^1",2,56,"2^3*7^1",2
770,"2*5*7*11",4,1,"",0,175,"5^2*7^1",2,176,"2^4*11^1",2
770,"2*5*7*11",4,5,"5^1",1,44,"2^2*11^1",2,49,"7^2",1
770,"2*5*7*11",4,11,"11^1",1,14,"2^1*7^1",2,25,"5^2",1
770,"2*5*7*11",4,11,"11^1",1,245,"5^1*7^2",2,256,"2^8",1
770,"2*5*7*11",4,11,"11^1",1,3125,"5^5",1,3136,"2^6*7^2",2
770,"2*5*7*11",4,343,"7^3",1,625,"5^4",1,968,"2^3*11^2",2
782,"2*17*23",3,17,"17^1",1,512,"2^9",1,529,"23^2",1
798,"2*3*7*19",4,1,"",0,56,"2^3*7^1",2,57,"3^1*19^1",2
798,"2*3*7*19",4,1,"",0,342,"2^1*3^2*19^1",3,343,"7^3",1
798,"2*3*7*19",4,2,"2^1",1,19,"19^1",1,21,"3^1*7^1",2
798,"2*3*7*19",4,7,"7^1",1,12,"2^2*3^1",2,19,"19^1",1
798,"2*3*7*19",4,7,"7^1",1,57,"3^1*19^1",2,64,"2^6",1
798,"2*3*7*19",4,7,"7^1",1,722,"2^1*19^2",2,729,"3^6",1
798,"2*3*7*19",4,8,"2^3",1,49,"7^2",1,57,"3^1*19^1",2
798,"2*3*7*19",4,9,"3^2",1,19,"19^1",1,28,"2^2*7^1",2
798,"2*3*7*19",4,18,"2^1*3^2",2,343,"7^3",1,361,"19^2",1
798,"2*3*7*19",4,19,"19^1",1,128,"2^7",1,147,"3^1*7^2",2
798,"2*3*7*19",4,19,"19^1",1,224,"2^5*7^1",2,243,"3^5",1
798,"2*3*7*19",4,19,"19^1",1,324,"2^2*3^4",2,343,"7^3",1
798,"2*3*7*19",4,27,"3^3",1,49,"7^2",1,76,"2^2*19^1",2
858,"2*3*11*13",4,1,"",0,143,"11^1*13^1",2,144,"2^4*3^2",2
858,"2*3*11*13",4,1,"",0,351,"3^3*13^1",2,352,"2^5*11^1",2
858,"2*3*11*13",4,4,"2^2",1,117,"3^2*13^1",2,121,"11^2",1
858,"2*3*11*13",4,9,"3^2",1,13,"13^1",1,22,"2^1*11^1",2
858,"2*3*11*13",4,11,"11^1",1,13,"13^1",1,24,"2^3*3^1",2
858,"2*3*11*13",4,11,"11^1",1,117,"3^2*13^1",2,128,"2^7",1
858,"2*3*11*13",4,13,"13^1",1,108,"2^2*3^3",2,121,"11^2",1
858,"2*3*11*13",4,48,"2^4*3^1",2,121,"11^2",1,169,"13^2",1
858,"2*3*11*13",4,81,"3^4",1,88,"2^3*11^1",2,169,"13^2",1
858,"2*3*11*13",4,128,"2^7",1,169,"13^2",1,297,"3^3*11^1",2
870,"2*3*5*29",4,1,"",0,29,"29^1",1,30,"2^1*3^1*5^1",3
870,"2*3*5*29",4,1,"",0,144,"2^4*3^2",2,145,"5^1*29^1",2
870,"2*3*5*29",4,4,"2^2",1,725,"5^2*29^1",2,729,"3^6",1
870,"2*3*5*29",4,5,"5^1",1,24,"2^3*3^1",2,29,"29^1",1
870,"2*3*5*29",4,5,"5^1",1,256,"2^8",1,261,"3^2*29^1",2
870,"2*3*5*29",4,9,"3^2",1,20,"2^2*5^1",2,29,"29^1",1
870,"2*3*5*29",4,9,"3^2",1,116,"2^2*29^1",2,125,"5^3",1
870,"2*3*5*29",4,16,"2^4",1,29,"29^1",1,45,"3^2*5^1",2
870,"2*3*5*29",4,25,"5^2",1,29,"29^1",1,54,"2^1*3^3",2
870,"2*3*5*29",4,29,"29^1",1,96,"2^5*3^1",2,125,"5^3",1
870,"2*3*5*29",4,64,"2^6",1,81,"3^4",1,145,"5^1*29^1",2
870,"2*3*5*29",4,216,"2^3*3^3",2,625,"5^4",1,841,"29^2",1
874,"2*19*23",3,4,"2^2",1,19,"19^1",1,23,"23^1",1
910,"2*5*7*13",4,5,"5^1",1,338,"2^1*13^2",2,343,"7^3",1
910,"2*5*7*13",4,7,"7^1",1,13,"13^1",1,20,"2^2*5^1",2
910,"2*5*7*13",4,13,"13^1",1,112,"2^4*7^1",2,125,"5^3",1
910,"2*5*7*13",4,16,"2^4",1,49,"7^2",1,65,"5^1*13^1",2
910,"2*5*7*13",4,125,"5^3",1,512,"2^9",1,637,"7^2*13^1",2
966,"2*3*7*23",4,1,"",0,161,"7^1*23^1",2,162,"2^1*3^4",2
966,"2*3*7*23",4,2,"2^1",1,21,"3^1*7^1",2,23,"23^1",1
966,"2*3*7*23",4,3,"3^1",1,46,"2^1*23^1",2,49,"7^2",1
966,"2*3*7*23",4,7,"7^1",1,729,"3^6",1,736,"2^5*23^1",2
966,"2*3*7*23",4,9,"3^2",1,14,"2^1*7^1",2,23,"23^1",1
966,"2*3*7*23",4,23,"23^1",1,49,"7^2",1,72,"2^3*3^2",2
966,"2*3*7*23",4,49,"7^2",1,207,"3^2*23^1",2,256,"2^8",1
966,"2*3*7*23",4,81,"3^4",1,448,"2^6*7^1",2,529,"23^2",1
1122,"2*3*11*17",4,1,"",0,33,"3^1*11^1",2,34,"2^1*17^1",2
1122,"2*3*11*17",4,1,"",0,1088,"2^6*17^1",2,1089,"3^2*11^2",2
1122,"2*3*11*17",4,6,"2^1*3^1",2,11,"11^1",1,17,"17^1",1
1122,"2*3*11*17",4,8,"2^3",1,289,"17^2",1,297,"3^3*11^1",2
1122,"2*3*11*17",4,9,"3^2",1,2048,"2^11",1,2057,"11^2*17^1",2
1122,"2*3*11*17",4,11,"11^1",1,2176,"2^7*17^1",2,2187,"3^7",1
1122,"2*3*11*17",4,16,"2^4",1,17,"17^1",1,33,"3^1*11^1",2
1122,"2*3*11*17",4,17,"17^1",1,27,"3^3",1,44,"2^2*11^1",2
1122,"2*3*11*17",4,32,"2^5",1,121,"11^2",1,153,"3^2*17^1",2
1122,"2*3*11*17",4,33,"3^1*11^1",2,256,"2^8",1,289,"17^2",1
1122,"2*3*11*17",4,243,"3^5",1,1088,"2^6*17^1",2,1331,"11^3",1
1190,"2*5*7*17",4,1,"",0,34,"2^1*17^1",2,35,"5^1*7^1",2
1190,"2*5*7*17",4,7,"7^1",1,10,"2^1*5^1",2,17,"17^1",1
1190,"2*5*7*17",4,25,"5^2",1,2023,"7^1*17^2",2,2048,"2^11",1
1218,"2*3*7*29",4,1,"",0,783,"3^3*29^1",2,784,"2^4*7^2",2
1218,"2*3*7*29",4,7,"7^1",1,29,"29^1",1,36,"2^2*3^2",2
1218,"2*3*7*29",4,8,"2^3",1,21,"3^1*7^1",2,29,"29^1",1
1218,"2*3*7*29",4,9,"3^2",1,49,"7^2",1,58,"2^1*29^1",2
1218,"2*3*7*29",4,27,"3^3",1,29,"29^1",1,56,"2^3*7^1",2
1218,"2*3*7*29",4,87,"3^1*29^1",2,256,"2^8",1,343,"7^3",1
1218,"2*3*7*29",4,112,"2^4*7^1",2,729,"3^6",1,841,"29^2",1
1218,"2*3*7*29",4,343,"7^3",1,59049,"3^10",1,59392,"2^11*29^1",2
1254,"2*3*11*19",4,2,"2^1",1,361,"19^2",1,363,"3^1*11^2",2
1254,"2*3*11*19",4,3,"3^1",1,19,"19^1",1,22,"2^1*11^1",2
1254,"2*3*11*19",4,9,"3^2",1,352,"2^5*11^1",2,361,"19^2",1
1254,"2*3*11*19",4,11,"11^1",1,27,"3^3",1,38,"2^1*19^1",2
1254,"2*3*11*19",4,57,"3^1*19^1",2,64,"2^6",1,121,"11^2",1
1254,"2*3*11*19",4,64,"2^6",1,297,"3^3*11^1",2,361,"19^2",1
1254,"2*3*11*19",4,81,"3^4",1,128,"2^7",1,209,"11^1*19^1",2
1254,"2*3*11*19",4,121,"11^2",1,608,"2^5*19^1",2,729,"3^6",1
1326,"2*3*13*17",4,1,"",0,51,"3^1*17^1",2,52,"2^2*13^1",2
1326,"2*3*13*17",4,9,"3^2",1,17,"17^1",1,26,"2^1*13^1",2
