# List of all rational elliptic curves with good reduction outside S, up to Q-isomorphisms,
# for all sets S = {2, p},
# where p ranges over all other primes less or equal to 250.
# It contains 9416 pairs (c4,c6), some of which may appear for more than one S.
# Format: "(c4,c6)".
# Computing this list took 1490 seconds.
# Authors: Rafael von Känel and Benjamin Matschke, 2015.
# License: Creative commons 3.0 by-nc.
#
#
# S = {2, 3}:
#
(1152,-55296)
(26496,4313088)
(576,41472)
(576,-41472)
(-720,32832)
(-720,-32832)
(8505,-785133)
(0,31104)
(0,-31104)
(144,-29376)
(144,29376)
(2025,95499)
(0,27648)
(0,-27648)
(-864,0)
(576,-27648)
(576,27648)
(0,23328)
(0,-23328)
(-128,22528)
(-128,-22528)
(0,-20736)
(0,20736)
(2448,122688)
(-576,13824)
(-576,-13824)
(864,31104)
(-432,-15552)
(52704,12099456)
(-288,-17280)
(-288,17280)
(52704,-12099456)
(-432,15552)
(864,-31104)
(12960,1475496)
(0,-17496)
(-567,-9477)
(0,15552)
(0,-15552)
(-288,-13824)
(657,-22329)
(-288,13824)
(-576,0)
(1152,41472)
(0,13824)
(1152,-41472)
(304,-13760)
(432,15552)
(432,-15552)
(304,13760)
(51705,-11757069)
(144,12096)
(144,-12096)
(-320,-9728)
(-320,9728)
(1728,72576)
(0,10368)
(0,-10368)
(-432,-5184)
(-432,5184)
(576,17280)
(576,-17280)
(1728,-72576)
(-432,0)
(160,8704)
(144,-8640)
(1440,55296)
(-288,6912)
(-288,-6912)
(160,-8704)
(1440,-55296)
(1174752,1273266432)
(144,8640)
(1174752,-1273266432)
(-368,-4672)
(-368,4672)
(1377,51759)
(0,-7776)
(-288,6048)
(-288,-6048)
(2592,132192)
(2592,-132192)
(0,7776)
(-384,0)
(1008,-32832)
(1008,32832)
(0,6912)
(0,-6912)
(1872,-81216)
(-288,3456)
(-288,-3456)
(1872,81216)
(0,5832)
(-128,5120)
(-128,-5120)
(5760,-437184)
(864,25920)
(0,-5184)
(864,-25920)
(-288,-1728)
(-135,-4941)
(0,5184)
(432,10368)
(-288,1728)
(5760,437184)
(432,-10368)
(6624,-539136)
(6624,539136)
(-288,0)
(288,6912)
(288,-6912)
(144,5184)
(144,-5184)
(0,-3456)
(0,3456)
(-207,-297)
(144,-3456)
(144,3456)
(-32,-2816)
(-32,2816)
(-192,0)
(0,2592)
(0,-2592)
(-144,1728)
(-144,-1728)
(-128,1792)
(-128,-1792)
(297,-5589)
(0,-1944)
(288,5184)
(0,1728)
(-144,0)
(0,-1728)
(288,-5184)
(-135,243)
(-80,1216)
(-80,-1216)
(945,29079)
(225,-3537)
(-96,0)
(0,-864)
(0,864)
(-32,640)
(-32,-640)
(1440,-54648)
(0,648)
(-63,351)
(-48,0)
(153,-1917)
(-32,-224)
(-32,224)
(0,-216)
(48,0)
(112,-1088)
(112,1088)
(208,-2944)
(208,2944)
(513,11583)
(528,-12096)
